"species","sspname","sample","datasetAB","total_ind","area_min","area_log_min","area_sqrt_min","area_25q","area_log_25q","area_sqrt_25q","area_mean","area_log_mean","area_sqrt_mean","area_median","area_log_median","area_sqrt_median","area_75q","area_log_75q","area_sqrt_75q","area_95q","area_log_95q","area_sqrt_95q","area_max","area_log_max","area_sqrt_max"
"obliquiloculata","P.obliquiloculata",23,"A",3,73400.30532,11.203683374267,270.924907160637,101604.39641,11.4887494222207,315.607178385127,130372.947073333,11.7070725019316,354.900094395134,129808.4875,11.7738154701744,360.289449609616,158859.26795,11.9587670657639,396.887688012382,182099.89231,12.1067283422354,426.166278734596,187910.0484,12.1437186613533,433.485926415149
"obliquiloculata","P.obliquiloculata",23,"B",4,86686.2972,11.3700511018348,294.425367792926,119425.8006,11.6759331143365,344.375006540352,127836.162,11.7364825435421,355.656085644038,137005.353,11.8265900807425,370.03271743859,145415.7144,11.8871395099481,381.313796542276,149601.25872,11.9155870306684,386.769591233294,150647.6448,11.9226989108485,388.133539906048
"ruber","G.ruber",23,"A",94,23424.41697,10.061534217576,153.0503739623,34666.7570875,10.4533275189928,186.180345228909,54863.8840978723,10.828834549489,229.41881708309,52612.11454,10.8706221044189,229.368744881271,67105.703125,11.1140216230019,259.047510860183,96872.509809,11.4811384777935,311.242509954622,116481.3553,11.6654864988367,341.293649662574
"ruber","G.ruber",23,"B",71,57790.8648,10.9645859937266,240.397306141313,87738.0084,11.3821063198978,296.205715837419,114524.76828169,11.6066617850058,334.846515298494,107094.8196,11.5814698855181,327.253448568537,134665.6284,11.810548104801,366.96796880556,179130.3804,12.0955101668111,423.199987162822,228201.3612,12.3379836813354,477.704261232826
"sacculifer","G.sacculifer",23,"A",28,35959.71656,10.4901546064633,189.630473711374,57176.9022025,10.9535772798331,239.097412945478,111620.259481429,11.4777115533771,322.585632137163,104797.076,11.5596280808372,323.711377662776,154136.54095,11.9453487670929,392.578086685215,216684.40002,12.2832155640524,465.149946061796,240451.0323,12.3902717398968,490.358065397114
"sacculifer","G.sacculifer",23,"B",14,123596.0352,11.7247737458213,351.56227783993,232356.6189,12.3536768122225,481.746970346253,289829.6406,12.5204151930063,530.891073818656,274519.9206,12.5224929407889,523.909006363138,337416.2442,12.7247861643341,580.265174412114,458412.62238,13.0285029144335,675.861675818449,534029.6592,13.188206657973,730.773329562594
"tenellus","G.tenellus",23,"A",20,21894.19,9.99397658380352,147.966854396517,24302.3980725,10.097943791576,155.877283588097,27459.939644,10.2110190401747,165.317692352274,26924.55589,10.2007483617943,164.085165106845,30957.763185,10.3403743940963,175.947977150637,33349.097243,10.4146879402651,182.612833293979,35423.96399,10.4751438189654,188.212550033201
"tenellus","G.tenellus",23,"B",7,16607.718,9.71762280605267,128.870935435419,18318.4128,9.81442133634968,135.303571201759,25568.1833142857,10.1019230698096,158.029512642357,24715.2132,10.1151742520441,157.210728641528,31125.3264,10.3432501850639,176.312365421789,37137.38688,10.5200361846146,192.598967236827,38766.8736,10.5653213877436,196.893051172458
"truncatulinoides","G.truncatulinoides",23,"A",12,57919.11364,10.9668027237657,240.663901821607,75108.1642975,11.2266780282751,274.058241563805,130495.4404,11.6862154888147,353.194477062763,126727.59165,11.7348112627548,354.662142953582,184194.3222,12.1233102208522,429.131583814467,202883.87736,12.2203813069295,450.425455104681,203767.4319,12.2247345827809,451.406060991653
"truncatulinoides","G.truncatulinoides",23,"B",2,288155.556,12.5712557383031,536.801225781015,322913.6127,12.6696865457035,565.999929201182,357671.6694,12.7681173531039,595.19863262135,357671.6694,12.7681173531039,595.19863262135,392429.7261,12.8665481605042,624.397336041518,420236.17146,12.9452928064245,647.756298777652,427187.7828,12.9649789679046,653.596039461685
"universa","O.universa",23,"A",6,185304.1688,12.1297539095919,430.469707180424,260715.9324,12.4709172700005,510.568954059006,294398.536533333,12.5593167357668,538.076360874836,284098.6106,12.5560594919854,532.873524951986,310483.6048,12.6455612141226,557.165489642273,409269.50165,12.9121613792896,638.197630811468,440689.52,12.9960958701979,663.844499864238
"universa","O.universa",23,"B",5,189421.1748,12.1517282528515,435.225429863651,341233.6896,12.7403228282951,584.152111696945,341622.42336,12.7062673452208,579.721061259482,382616.5284,12.8547885352643,618.560044296429,384839.766,12.8605823344301,620.35454862522,404968.7196,12.9112482870965,636.321447177178,410000.958,12.9239147752631,640.313171815167
"calida","G.calida",25,"A",11,32405.74445,10.3860909839045,180.015956098341,39390.94874,10.5811456234791,198.464301484861,61150.2624181818,10.923595839835,241.188494399732,49054.3453,10.8006840502644,221.482155714631,77088.12871,11.228971437894,276.0147223868,110994.70515,11.6128351231013,332.792587874132,121387.1864,11.7067406034372,348.40663943157
"calida","G.calida",25,"B",6,89082.6012,11.3973193216634,298.467085622519,96036.8751,11.4657558173858,309.366508010355,112399.9704,11.6176234540407,334.258227636289,119236.0932,11.6885237398382,345.276704580609,126135.4518,11.7449579406375,355.141933517828,129430.3698,11.7708571697928,359.760629842109,130105.9944,11.7761047387658,360.702085383492
