"Lat.decimal","Long.decimal","IRN","ZF_PF_no.","Former_Museum_no.","IRN_Residue_OBD","Sea_Depth_meters_NOAA","Ocean_Sea","Sample_depth_min_cm","Sample_depth_max_cm","Vessel","Collection_date","slide_no_check","species","total_ind","ind_diam","pop_max_diam","pop_min_diam","ind_asp_ratio","ind_area","ind_area_mm","ind_area_sqrt","ind_area_log","pop_mean","pop_mean_log","pop_mean_sqrt","pop_median","pop_median_log","pop_median_sqrt","pop_95q","pop_95q_log","pop_95q_sqrt","pop_max","pop_max_log","pop_max_sqrt","pop_min","pop_min_log","pop_min_sqrt","pop_sd","pop_sd_log","pop_sd_sqrt","pop_mad","pop_mad_log","pop_mad_sqrt","sample","ocean"
-68.32,31.35333,5271799,6056,"1,962,216",15900,-974,"Antarctic Indian Ocean",NA,NA,"2nd Japanese Antartic Reseach Exp","02/02/1958",6056,"pachyderma",71,482.6807,539.54086,207.95824,1.15537,114749.6796,0.11475,338.74722,11.65051,77629.2806,11.16413,272.25433,70544.5272,11.164,265.6022,126804.42,11.75037,356.09361,133387.5996,11.80101,365.22267,28269.7308,10.24955,168.13605,32604.46514,0.4527,59.64026,40343.56708,0.60002,76.78212,1,"Indian"
-68.32,31.35333,5271799,6056,"1,962,216",15900,-974,"Antarctic Indian Ocean",NA,NA,"2nd Japanese Antartic Reseach Exp","02/02/1958",6056,"pachyderma",71,400.63172,539.54086,207.95824,1.10199,97389.7884,0.09739,312.07337,11.48648,77629.2806,11.16413,272.25433,70544.5272,11.164,265.6022,126804.42,11.75037,356.09361,133387.5996,11.80101,365.22267,28269.7308,10.24955,168.13605,32604.46514,0.4527,59.64026,40343.56708,0.60002,76.78212,1,"Indian"
-68.32,31.35333,5271799,6056,"1,962,216",15900,-974,"Antarctic Indian Ocean",NA,NA,"2nd Japanese Antartic Reseach Exp","02/02/1958",6056,"pachyderma",71,539.54086,539.54086,207.95824,1.23858,117319.05,0.11732,342.51869,11.67265,77629.2806,11.16413,272.25433,70544.5272,11.164,265.6022,126804.42,11.75037,356.09361,133387.5996,11.80101,365.22267,28269.7308,10.24955,168.13605,32604.46514,0.4527,59.64026,40343.56708,0.60002,76.78212,1,"Indian"
-68.32,31.35333,5271799,6056,"1,962,216",15900,-974,"Antarctic Indian Ocean",NA,NA,"2nd Japanese Antartic Reseach Exp","02/02/1958",6056,"pachyderma",71,390.56121,539.54086,207.95824,1.09055,100911.024,0.10091,317.66496,11.52199,77629.2806,11.16413,272.25433,70544.5272,11.164,265.6022,126804.42,11.75037,356.09361,133387.5996,11.80101,365.22267,28269.7308,10.24955,168.13605,32604.46514,0.4527,59.64026,40343.56708,0.60002,76.78212,1,"Indian"
-68.32,31.35333,5271799,6056,"1,962,216",15900,-974,"Antarctic Indian Ocean",NA,NA,"2nd Japanese Antartic Reseach Exp","02/02/1958",6056,"pachyderma",71,504.47412,539.54086,207.95824,1.2306,128721.4632,0.12872,358.77774,11.76541,77629.2806,11.16413,272.25433,70544.5272,11.164,265.6022,126804.42,11.75037,356.09361,133387.5996,11.80101,365.22267,28269.7308,10.24955,168.13605,32604.46514,0.4527,59.64026,40343.56708,0.60002,76.78212,1,"Indian"
-68.32,31.35333,5271799,6056,"1,962,216",15900,-974,"Antarctic Indian Ocean",NA,NA,"2nd Japanese Antartic Reseach Exp","02/02/1958",6056,"pachyderma",71,498.74143,539.54086,207.95824,1.13914,133387.5996,0.13339,365.22267,11.80101,77629.2806,11.16413,272.25433,70544.5272,11.164,265.6022,126804.42,11.75037,356.09361,133387.5996,11.80101,365.22267,28269.7308,10.24955,168.13605,32604.46514,0.4527,59.64026,40343.56708,0.60002,76.78212,1,"Indian"
-68.32,31.35333,5271799,6056,"1,962,216",15900,-974,"Antarctic Indian Ocean",NA,NA,"2nd Japanese Antartic Reseach Exp","02/02/1958",6056,"pachyderma",71,483.95464,539.54086,207.95824,1.07798,117325.7064,0.11733,342.5284,11.67271,77629.2806,11.16413,272.25433,70544.5272,11.164,265.6022,126804.42,11.75037,356.09361,133387.5996,11.80101,365.22267,28269.7308,10.24955,168.13605,32604.46514,0.4527,59.64026,40343.56708,0.60002,76.78212,1,"Indian"
-68.32,31.35333,5271799,6056,"1,962,216",15900,-974,"Antarctic Indian Ocean",NA,NA,"2nd Japanese Antartic Reseach Exp","02/02/1958",6056,"pachyderma",71,269.32284,539.54086,207.95824,1.09418,51973.1712,0.05197,227.97625,10.85848,77629.2806,11.16413,272.25433,70544.5272,11.164,265.6022,126804.42,11.75037,356.09361,133387.5996,11.80101,365.22267,28269.7308,10.24955,168.13605,32604.46514,0.4527,59.64026,40343.56708,0.60002,76.78212,1,"Indian"
-68.32,31.35333,5271799,6056,"1,962,216",15900,-974,"Antarctic Indian Ocean",NA,NA,"2nd Japanese Antartic Reseach Exp","02/02/1958",6056,"pachyderma",71,316.27896,539.54086,207.95824,1.09831,50788.332,0.05079,225.36267,10.83542,77629.2806,11.16413,272.25433,70544.5272,11.164,265.6022,126804.42,11.75037,356.09361,133387.5996,11.80101,365.22267,28269.7308,10.24955,168.13605,32604.46514,0.4527,59.64026,40343.56708,0.60002,76.78212,1,"Indian"
-68.32,31.35333,5271799,6056,"1,962,216",15900,-974,"Antarctic Indian Ocean",NA,NA,"2nd Japanese Antartic Reseach Exp","02/02/1958",6056,"pachyderma",71,213.45505,539.54086,207.95824,1.11305,30785.85,0.03079,175.45897,10.33481,77629.2806,11.16413,272.25433,70544.5272,11.164,265.6022,126804.42,11.75037,356.09361,133387.5996,11.80101,365.22267,28269.7308,10.24955,168.13605,32604.46514,0.4527,59.64026,40343.56708,0.60002,76.78212,1,"Indian"
-68.32,31.35333,5271799,6056,"1,962,216",15900,-974,"Antarctic Indian Ocean",NA,NA,"2nd Japanese Antartic Reseach Exp","02/02/1958",6056,"pachyderma",71,447.24134,539.54086,207.95824,1.14171,108319.5972,0.10832,329.11943,11.59284,77629.2806,11.16413,272.25433,70544.5272,11.164,265.6022,126804.42,11.75037,356.09361,133387.5996,11.80101,365.22267,28269.7308,10.24955,168.13605,32604.46514,0.4527,59.64026,40343.56708,0.60002,76.78212,1,"Indian"
-68.32,31.35333,5271799,6056,"1,962,216",15900,-974,"Antarctic Indian Ocean",NA,NA,"2nd Japanese Antartic Reseach Exp","02/02/1958",6056,"pachyderma",71,442.22735,539.54086,207.95824,1.06112,120593.9988,0.12059,347.26647,11.70018,77629.2806,11.16413,272.25433,70544.5272,11.164,265.6022,126804.42,11.75037,356.09361,133387.5996,11.80101,365.22267,28269.7308,10.24955,168.13605,32604.46514,0.4527,59.64026,40343.56708,0.60002,76.78212,1,"Indian"
-68.32,31.35333,5271799,6056,"1,962,216",15900,-974,"Antarctic Indian Ocean",NA,NA,"2nd Japanese Antartic Reseach Exp","02/02/1958",6056,"pachyderma",71,337.83226,539.54086,207.95824,1.16145,54409.4136,0.05441,233.25826,10.90429,77629.2806,11.16413,272.25433,70544.5272,11.164,265.6022,126804.42,11.75037,356.09361,133387.5996,11.80101,365.22267,28269.7308,10.24955,168.13605,32604.46514,0.4527,59.64026,40343.56708,0.60002,76.78212,1,"Indian"
-68.32,31.35333,5271799,6056,"1,962,216",15900,-974,"Antarctic Indian Ocean",NA,NA,"2nd Japanese Antartic Reseach Exp","02/02/1958",6056,"pachyderma",71,224.47483,539.54086,207.95824,1.10848,33781.23,0.03378,183.79671,10.42766,77629.2806,11.16413,272.25433,70544.5272,11.164,265.6022,126804.42,11.75037,356.09361,133387.5996,11.80101,365.22267,28269.7308,10.24955,168.13605,32604.46514,0.4527,59.64026,40343.56708,0.60002,76.78212,1,"Indian"
-68.32,31.35333,5271799,6056,"1,962,216",15900,-974,"Antarctic Indian Ocean",NA,NA,"2nd Japanese Antartic Reseach Exp","02/02/1958",6056,"pachyderma",71,345.98945,539.54086,207.95824,1.22472,55627.5348,0.05563,235.8549,10.92643,77629.2806,11.16413,272.25433,70544.5272,11.164,265.6022,126804.42,11.75037,356.09361,133387.5996,11.80101,365.22267,28269.7308,10.24955,168.13605,32604.46514,0.4527,59.64026,40343.56708,0.60002,76.78212,1,"Indian"
-68.32,31.35333,5271799,6056,"1,962,216",15900,-974,"Antarctic Indian Ocean",NA,NA,"2nd Japanese Antartic Reseach Exp","02/02/1958",6056,"pachyderma",71,435.65346,539.54086,207.95824,1.14936,120500.8092,0.1205,347.13226,11.69941,77629.2806,11.16413,272.25433,70544.5272,11.164,265.6022,126804.42,11.75037,356.09361,133387.5996,11.80101,365.22267,28269.7308,10.24955,168.13605,32604.46514,0.4527,59.64026,40343.56708,0.60002,76.78212,1,"Indian"
-68.32,31.35333,5271799,6056,"1,962,216",15900,-974,"Antarctic Indian Ocean",NA,NA,"2nd Japanese Antartic Reseach Exp","02/02/1958",6056,"pachyderma",71,285.6702,539.54086,207.95824,1.55185,30725.9424,0.03073,175.28817,10.33286,77629.2806,11.16413,272.25433,70544.5272,11.164,265.6022,126804.42,11.75037,356.09361,133387.5996,11.80101,365.22267,28269.7308,10.24955,168.13605,32604.46514,0.4527,59.64026,40343.56708,0.60002,76.78212,1,"Indian"
-68.32,31.35333,5271799,6056,"1,962,216",15900,-974,"Antarctic Indian Ocean",NA,NA,"2nd Japanese Antartic Reseach Exp","02/02/1958",6056,"pachyderma",71,278.30535,539.54086,207.95824,1.08292,33142.2156,0.03314,182.05004,10.40856,77629.2806,11.16413,272.25433,70544.5272,11.164,265.6022,126804.42,11.75037,356.09361,133387.5996,11.80101,365.22267,28269.7308,10.24955,168.13605,32604.46514,0.4527,59.64026,40343.56708,0.60002,76.78212,1,"Indian"
-68.32,31.35333,5271799,6056,"1,962,216",15900,-974,"Antarctic Indian Ocean",NA,NA,"2nd Japanese Antartic Reseach Exp","02/02/1958",6056,"pachyderma",71,219.52753,539.54086,207.95824,1.02155,32170.3812,0.03217,179.36104,10.3788,77629.2806,11.16413,272.25433,70544.5272,11.164,265.6022,126804.42,11.75037,356.09361,133387.5996,11.80101,365.22267,28269.7308,10.24955,168.13605,32604.46514,0.4527,59.64026,40343.56708,0.60002,76.78212,1,"Indian"
