"area","diam.max","species","sample","dataset","datasetAB","area_log"
237989.9735,636.3214303,"dutertrei",46,"resample","A",12.3799838236149
159170.3755,493.051094,"dutertrei",46,"resample","A",11.977730451534
208440.8387,576.7186295,"dutertrei",46,"resample","A",12.2474105327149
85098.74809,360.831734,"dutertrei",46,"resample","A",11.3515676034074
161322.5698,513.6145209,"dutertrei",46,"resample","A",11.9911611786893
59508.99365,306.8137519,"dutertrei",46,"resample","A",10.9938827338927
87349.51617,349.813516,"dutertrei",46,"resample","A",11.3776727765658
193835.4897,534.6686323,"dutertrei",46,"resample","A",12.1747650870604
75783.52546,349.7101779,"dutertrei",46,"resample","A",11.2356362057919
28968.60448,216.9514934,"falconensis",25,"resample","A",10.2739679183915
34433.39258,234.6187933,"falconensis",25,"resample","A",10.4467820870577
37141.65954,254.0670087,"falconensis",25,"resample","A",10.5224945172687
35350.22238,232.721523,"falconensis",25,"resample","A",10.4730599621112
33649.26184,232.5616378,"falconensis",25,"resample","A",10.4237463984281
38386.21577,242.6399486,"falconensis",25,"resample","A",10.5554537098098
34003.12597,230.6169341,"falconensis",25,"resample","A",10.4342077396662
36329.38051,251.2499672,"falconensis",25,"resample","A",10.500382073322
45041.27412,281.5878244,"falconensis",25,"resample","A",10.7153345510458
36735.52002,235.1751583,"falconensis",25,"resample","A",10.5114994139362
40248.02363,262.3980012,"falconensis",25,"resample","A",10.6028161792809
44546.66858,270.6954241,"falconensis",25,"resample","A",10.7042926507538
45276.51335,264.0060039,"falconensis",25,"resample","A",10.7205437079246
41227.18177,256.5594462,"falconensis",25,"resample","A",10.6268530694962
37081.34179,242.5529267,"falconensis",25,"resample","A",10.5208692053789
30166.9171,232.946041,"falconensis",25,"resample","A",10.3145011426429
37368.85639,243.5290986,"falconensis",25,"resample","A",10.5285929196564
28957.69207,212.3617347,"glutinata",20,"resample","A",10.2735911496085
29269.84239,214.1720516,"glutinata",20,"resample","A",10.2843129949772
33768.09275,224.7279145,"glutinata",20,"resample","A",10.4272716341418
30120.86273,215.0982301,"glutinata",20,"resample","A",10.3129733245979
27203.07871,204.7360714,"glutinata",20,"resample","A",10.2110854337465
27288.50932,207.6364311,"glutinata",20,"resample","A",10.2142209885388
65360.99066,321.7588538,"glutinata",20,"resample","A",11.0876808863958
57054.50642,301.0624433,"glutinata",20,"resample","A",10.9517623428805
43592.61326,271.6897782,"glutinata",20,"resample","A",10.6826429943416
35663.9952,245.0801759,"glutinata",20,"resample","A",10.4818969210361
45531.23102,281.3153389,"glutinata",20,"resample","A",10.726153765521
33886.38129,222.3983796,"glutinata",20,"resample","A",10.4307684807943
50459.92024,277.0608087,"glutinata",20,"resample","A",10.8289346415359
34096.67203,242.553335,"glutinata",20,"resample","A",10.4369550640808
39728.52091,249.2082863,"glutinata",20,"resample","A",10.589824619573
39133.79241,245.0801759,"glutinata",20,"resample","A",10.5747416287295
39028.64704,242.4720413,"glutinata",20,"resample","A",10.5720511949569
41450.27635,258.4191424,"glutinata",20,"resample","A",10.63224982761
39850.09525,258.679668,"glutinata",20,"resample","A",10.5928800744288
52345.96532,302.2986433,"glutinata",20,"resample","A",10.8656301420773
59817.85818,314.4299922,"glutinata",20,"resample","A",10.9990595271297
28596.25486,210.0593052,"glutinata",20,"resample","A",10.2610310392823
47348.27445,271.9557141,"glutinata",20,"resample","A",10.7652856555003
41446.99056,254.5502589,"glutinata",20,"resample","A",10.6321705538263
43043.88586,255.2270412,"glutinata",20,"resample","A",10.6699754756115
54445.58693,287.5705714,"glutinata",20,"resample","A",10.904957076959
36564.30243,241.8410885,"glutinata",20,"resample","A",10.5068276999899
44154.48383,259.5356482,"glutinata",20,"resample","A",10.6954497598787
84674.88082,368.521897,"glutinata",20,"resample","A",11.3465742701857
45143.50747,270.4533857,"glutinata",20,"resample","A",10.717601749391
60678.7359,310.3065555,"glutinata",20,"resample","A",11.0133486010108
77064.98466,349.1695038,"glutinata",20,"resample","A",11.2524043015281
30727.87217,224.5923491,"glutinata",20,"resample","A",10.3329254099676
59151.60632,309.5850341,"glutinata",20,"resample","A",10.987859025758
23624.45188,195.1322235,"glutinata",20,"resample","A",10.0700375512462
25429.96318,194.6525099,"glutinata",20,"resample","A",10.1436834105189
40308.34138,244.4355785,"glutinata",20,"resample","A",10.6043137086509
28085.95475,213.070785,"glutinata",20,"resample","A",10.2430248994038
26097.47961,203.6034838,"glutinata",20,"resample","A",10.1695940219813
22279.36606,185.4919268,"glutinata",20,"resample","A",10.0114162403151
25088.1626,184.333933,"glutinata",20,"resample","A",10.1301514043154
26425.20605,208.906444,"glutinata",20,"resample","A",10.1820736082482
29736.65049,220.3720279,"glutinata",20,"resample","A",10.3001355872423
30028.18628,202.350436,"glutinata",20,"resample","A",10.309891762217
39721.24862,259.1792179,"glutinata",20,"resample","A",10.5896415532139
32221.74177,221.2007197,"glutinata",20,"resample","A",10.3803967139291
28144.26191,210.6078402,"glutinata",20,"resample","A",10.2450987730028
30438.34698,213.5656142,"glutinata",20,"resample","A",10.3234585062961
28399.60704,215.9063857,"glutinata",20,"resample","A",10.2541305874339
26960.02342,205.5445507,"glutinata",20,"resample","A",10.2021104337202
33868.41633,241.6560251,"glutinata",20,"resample","A",10.4302381874113
38177.11423,250.7172458,"glutinata",25,"resample","A",10.5499915111335
27549.12678,206.4668597,"glutinata",25,"resample","A",10.223726118253
30910.83601,208.1833653,"glutinata",25,"resample","A",10.3388620813473
24527.20753,199.5337962,"glutinata",25,"resample","A",10.1075382917997
