Lat.decimal,Long.decimal,IRN,ZF.PF.no.,Museum.no.,Residue.OBD.IRN,Sea.Depth..m....modern.methods,Ocean.Sea,Sample.depth.MIN..cm.,Sample.depth.MAX..cm.,Vessel,Collection.date,species,total_ind,diameter,D_max,D_min,area,area_mm,area_sqrt,area_sqrt_mm,area_log,A_mean,A_mean_log,A_mean_sqrt_mm,A_median,A_median_log,A_median_sqrt_mm,A_max,A_max_log,A_max_sqrt_mm,A_95q,A_95q_log,A_95q_sqrt_mm,A_sd,A_sd_log,A_sd_sqrt_mm,A_mad,A_mad_log,A_mad_sqrt_mm,max_size,max_size_log,max_size_sqrt_mm,min_size,min_size_log,min_size_sqrt_mm,sample,ocean
-68.32,31.35333,5271799,6056,"1,962,216",15900,-974,Antarctic Indian Ocean,NA,NA,2nd Japanese Antartic Reseach Exp,02/02/58,pachyderma,71,392.67736,539.54086,207.95824,108705.6684,0.10871,329.70543,0.32971,11.5964,77629.2806,11.16413,0.27225,70544.5272,11.164,0.2656,133387.5996,11.80101,0.36522,126804.42,11.75037,0.35609,32604.46514,0.4527,0.05964,40343.56708,0.60002,0.07678,133387.5996,11.80101,0.36522,28269.7308,10.24955,0.16814,1,Indian
-68.32,31.35333,5271799,6056,"1,962,216",15900,-974,Antarctic Indian Ocean,NA,NA,2nd Japanese Antartic Reseach Exp,02/02/58,pachyderma,71,434.54431,539.54086,207.95824,115375.3812,0.11538,339.66952,0.33967,11.65595,77629.2806,11.16413,0.27225,70544.5272,11.164,0.2656,133387.5996,11.80101,0.36522,126804.42,11.75037,0.35609,32604.46514,0.4527,0.05964,40343.56708,0.60002,0.07678,133387.5996,11.80101,0.36522,28269.7308,10.24955,0.16814,1,Indian
-68.32,31.35333,5271799,6056,"1,962,216",15900,-974,Antarctic Indian Ocean,NA,NA,2nd Japanese Antartic Reseach Exp,02/02/58,pachyderma,71,457.76646,539.54086,207.95824,117725.0904,0.11773,343.1109,0.34311,11.67611,77629.2806,11.16413,0.27225,70544.5272,11.164,0.2656,133387.5996,11.80101,0.36522,126804.42,11.75037,0.35609,32604.46514,0.4527,0.05964,40343.56708,0.60002,0.07678,133387.5996,11.80101,0.36522,28269.7308,10.24955,0.16814,1,Indian
-68.32,31.35333,5271799,6056,"1,962,216",15900,-974,Antarctic Indian Ocean,NA,NA,2nd Japanese Antartic Reseach Exp,02/02/58,pachyderma,71,404.30337,539.54086,207.95824,97895.6748,0.0979,312.88285,0.31288,11.49166,77629.2806,11.16413,0.27225,70544.5272,11.164,0.2656,133387.5996,11.80101,0.36522,126804.42,11.75037,0.35609,32604.46514,0.4527,0.05964,40343.56708,0.60002,0.07678,133387.5996,11.80101,0.36522,28269.7308,10.24955,0.16814,1,Indian
-68.32,31.35333,5271799,6056,"1,962,216",15900,-974,Antarctic Indian Ocean,NA,NA,2nd Japanese Antartic Reseach Exp,02/02/58,pachyderma,71,425.1054,539.54086,207.95824,105916.6368,0.10592,325.44836,0.32545,11.57041,77629.2806,11.16413,0.27225,70544.5272,11.164,0.2656,133387.5996,11.80101,0.36522,126804.42,11.75037,0.35609,32604.46514,0.4527,0.05964,40343.56708,0.60002,0.07678,133387.5996,11.80101,0.36522,28269.7308,10.24955,0.16814,1,Indian
-68.32,31.35333,5271799,6056,"1,962,216",15900,-974,Antarctic Indian Ocean,NA,NA,2nd Japanese Antartic Reseach Exp,02/02/58,pachyderma,71,451.91998,539.54086,207.95824,130738.3524,0.13074,361.57759,0.36158,11.78095,77629.2806,11.16413,0.27225,70544.5272,11.164,0.2656,133387.5996,11.80101,0.36522,126804.42,11.75037,0.35609,32604.46514,0.4527,0.05964,40343.56708,0.60002,0.07678,133387.5996,11.80101,0.36522,28269.7308,10.24955,0.16814,1,Indian
-68.32,31.35333,5271799,6056,"1,962,216",15900,-974,Antarctic Indian Ocean,NA,NA,2nd Japanese Antartic Reseach Exp,02/02/58,pachyderma,71,482.6807,539.54086,207.95824,114749.6796,0.11475,338.74722,0.33875,11.65051,77629.2806,11.16413,0.27225,70544.5272,11.164,0.2656,133387.5996,11.80101,0.36522,126804.42,11.75037,0.35609,32604.46514,0.4527,0.05964,40343.56708,0.60002,0.07678,133387.5996,11.80101,0.36522,28269.7308,10.24955,0.16814,1,Indian
-68.32,31.35333,5271799,6056,"1,962,216",15900,-974,Antarctic Indian Ocean,NA,NA,2nd Japanese Antartic Reseach Exp,02/02/58,pachyderma,71,400.63172,539.54086,207.95824,97389.7884,0.09739,312.07337,0.31207,11.48648,77629.2806,11.16413,0.27225,70544.5272,11.164,0.2656,133387.5996,11.80101,0.36522,126804.42,11.75037,0.35609,32604.46514,0.4527,0.05964,40343.56708,0.60002,0.07678,133387.5996,11.80101,0.36522,28269.7308,10.24955,0.16814,1,Indian
-68.32,31.35333,5271799,6056,"1,962,216",15900,-974,Antarctic Indian Ocean,NA,NA,2nd Japanese Antartic Reseach Exp,02/02/58,pachyderma,71,539.54086,539.54086,207.95824,117319.05,0.11732,342.51869,0.34252,11.67265,77629.2806,11.16413,0.27225,70544.5272,11.164,0.2656,133387.5996,11.80101,0.36522,126804.42,11.75037,0.35609,32604.46514,0.4527,0.05964,40343.56708,0.60002,0.07678,133387.5996,11.80101,0.36522,28269.7308,10.24955,0.16814,1,Indian
-68.32,31.35333,5271799,6056,"1,962,216",15900,-974,Antarctic Indian Ocean,NA,NA,2nd Japanese Antartic Reseach Exp,02/02/58,pachyderma,71,390.56121,539.54086,207.95824,100911.024,0.10091,317.66496,0.31766,11.52199,77629.2806,11.16413,0.27225,70544.5272,11.164,0.2656,133387.5996,11.80101,0.36522,126804.42,11.75037,0.35609,32604.46514,0.4527,0.05964,40343.56708,0.60002,0.07678,133387.5996,11.80101,0.36522,28269.7308,10.24955,0.16814,1,Indian
