species,sspname,sample,datasetAB,total_ind,area_min,area_log_min,area_25q,area_log_25q,area_mean,area_log_mean,area_median,area_log_median,area_75q,area_log_75q,area_95q,area_log_95q,area_max,area_log_max
conglobatus,G.conglobatus,31,A,8,53453.2775,10.88656323,93802.81325,11.44554553,177610.6555,11.90268804,150758.7459,11.90993093,238691.4903,12.37705553,345881.6092,12.74502218,378533.1895,12.84405903
conglobatus,G.conglobatus,31,B,9,152644.5648,11.93586739,212365.7856,12.26606547,304641.24,12.54816304,274536.5616,12.52283972,426322.4508,12.96295127,483247.9836,13.0862777,508009.7916,13.138256
conglobatus,G.conglobatus,44,A,6,66214.81478,11.10065951,124046.9703,11.65153062,225617.8717,12.14825452,255404.4519,12.43961536,300065.7242,12.61166499,361702.4218,12.79371707,381469.5536,12.85178632
conglobatus,G.conglobatus,44,B,8,165617.8884,12.01743854,219990.6918,12.30103052,267535.6929,12.45700374,239254.3134,12.38506314,303485.2452,12.61883952,398102.3102,12.89096206,422082.324,12.95295565
conglobatus,G.conglobatus,46,A,2,160333.5461,11.98501159,226706.561,12.22920498,293079.5758,12.47339838,293079.5758,12.47339838,359452.5907,12.71759177,412551.0025,12.91294649,425825.6055,12.96178516
conglobatus,G.conglobatus,46,B,11,118530.5148,11.68292572,207852.7464,12.24248631,287329.5573,12.4761258,242905.3488,12.40042714,360254.3526,12.76669656,498075.1146,13.11649957,529596.4968,13.17987067
crassaformis,G.crassaformis,55,A,5,29246.16527,10.28350374,30673.77037,10.33116318,100584.9041,11.16543856,54454.0292,10.90511212,152799.5927,11.93688249,219160.689,12.28380153,235750.9631,12.37053129
crassaformis,G.crassaformis,55,B,4,164998.8432,12.01369374,177689.2698,12.08691274,241242.9129,12.34998329,232165.2474,12.33121905,295718.8905,12.5942896,327657.629,12.69789898,335642.3136,12.72380133
dehiscens,S.dehiscens,27,A,1,386229.6171,12.86418733,386229.6171,12.86418733,386229.6171,12.86418733,386229.6171,12.86418733,386229.6171,12.86418733,386229.6171,12.86418733,386229.6171,12.86418733
dehiscens,S.dehiscens,27,B,6,93682.1736,11.4476632,141416.8821,11.8592425,226697.0148,12.1469008,167481.6804,12.02083624,208653.1785,12.24676937,486181.7919,13.01856102,576430.9272,13.2646108
dehiscens,S.dehiscens,44,A,1,407224.0381,12.91711878,407224.0381,12.91711878,407224.0381,12.91711878,407224.0381,12.91711878,407224.0381,12.91711878,407224.0381,12.91711878,407224.0381,12.91711878
dehiscens,S.dehiscens,44,B,22,49283.9856,10.80535447,75080.8638,11.2254348,175382.2221,11.83798947,135717.3396,11.81760482,192652.857,12.16252497,354067.8944,12.77724289,645943.7124,13.37846765
dutertrei,N.dutertrei,27,A,11,61867.91564,11.032757,75905.86653,11.23658267,88919.3296,11.37628321,87012.3748,11.37380563,104573.8876,11.55764872,110778.5734,11.61524539,111809.0016,11.62454735
dutertrei,N.dutertrei,27,B,7,98607.9096,11.49890676,137168.4348,11.82894795,151807.7602,11.90610202,142154.0784,11.86466681,170207.4762,12.04004603,201013.961,12.21001436,207140.5116,12.24115264
dutertrei,N.dutertrei,20,A,32,51474.99671,10.84885147,81349.52153,11.30651011,118684.3212,11.61911736,117834.5467,11.6763604,146706.3118,11.89618792,195176.1149,12.1814305,200958.1815,12.21085211
dutertrei,N.dutertrei,20,B,19,84596.1876,11.34564448,122431.1652,11.71479123,164425.6921,11.95057954,155433.5964,11.95397389,212419.0368,12.26462386,248179.2145,12.42150432,269823.8304,12.50552455
dutertrei,N.dutertrei,31,A,4,102129.0122,11.53399212,141082.9075,11.84235779,184291.9045,12.03794102,158769.5088,11.97477008,201978.5057,12.17035331,294395.3715,12.5686561,317499.588,12.6682318
dutertrei,N.dutertrei,31,B,17,82785.6468,11.32400998,126697.9176,11.74956093,189718.755,12.0881269,184721.7564,12.12660595,228281.238,12.33833365,296378.8726,12.59930642,304270.7004,12.62567305
dutertrei,N.dutertrei,44,A,21,37191.88886,10.52384598,76634.5458,11.24680324,115590.7489,11.54228468,120450.593,11.69899493,152845.2243,11.93718108,183757.9631,12.12137475,207123.2358,12.24106924
dutertrei,N.dutertrei,44,B,19,43519.5432,10.68096539,80246.2302,11.29099051,166939.7093,11.88608881,180628.0704,12.10419534,225335.781,12.32498271,253509.6596,12.44038678,313842.6036,12.65664688
dutertrei,N.dutertrei,46,A,9,59508.99365,10.99388273,85098.74809,11.3515676,140944.4478,11.74775671,159170.3755,11.97773045,193835.4897,12.17476509,226170.3196,12.32695451,237989.9735,12.37998382
dutertrei,N.dutertrei,46,B,12,68973.6168,11.14147935,79482.4083,11.28197699,131863.284,11.67620992,105513.9246,11.56650665,163757.4246,11.99038164,245008.1056,12.40730343,261050.6952,12.4724699
falconensis,G.falconensis,25,A,17,28968.60448,10.27396792,34433.39258,10.44678209,37409.06822,10.52208219,37081.34179,10.52086921,40248.02363,10.60281618,45088.32197,10.71637638,45276.51335,10.72054371
falconensis,G.falconensis,25,B,9,15030.1512,9.617813543,30732.5988,10.33307922,34452.0472,10.40480289,35245.638,10.47009706,41116.5828,10.62416679,43527.53088,10.68104504,44038.7424,10.69282503
glutinata,G.glutinata,25,A,18,23495.77401,10.06457585,27678.80994,10.22838969,35613.05138,10.45198979,35271.8093,10.47077433,43336.29241,10.67632472,49856.13847,10.81689616,50001.40372,10.81980636
glutinata,G.glutinata,25,B,14,36676.764,10.5098987,66321.0414,11.09152202,94031.15914,11.37877966,90943.065,11.41791644,116779.8816,11.66311992,153352.8058,11.94032266,157264.1064,11.96568188
glutinata,G.glutinata,27,A,24,26750.92189,10.19432421,30221.70573,10.31624494,33894.13515,10.4162083,33287.35535,10.41293274,34258.97376,10.4416991,47201.15221,10.76145817,52932.84635,10.87677934
glutinata,G.glutinata,27,B,14,23217.5232,10.05266258,30358.1763,10.31809426,39807.64929,10.55581171,41495.9976,10.62880742,48383.7075,10.78691811,52079.6736,10.86045605,52945.0056,10.87700902
