"area","diam.max","area_max","area_sqrt","area_sqrt_max","area_log","area_log_max","total_ind","species","sspname","sample","dataset","datasetAB"
35742.28775,242.2543284,90995.35686,189.056308411013,301.654366552185,10.484089797577,11.4185637606808,76,"glutinata","G.glutinata",44,"Re-sampling","A"
31015.38678,219.8970877,90995.35686,176.111858714852,301.654366552185,10.3422387080694,11.4185637606808,76,"glutinata","G.glutinata",44,"Re-sampling","A"
28856.01135,212.2056106,90995.35686,169.870572348479,301.654366552185,10.2700736159157,11.4185637606808,76,"glutinata","G.glutinata",44,"Re-sampling","A"
37845.36661,243.3804441,90995.35686,194.538856298684,301.654366552185,10.5412638368413,11.4185637606808,76,"glutinata","G.glutinata",44,"Re-sampling","A"
34157.94153,226.5754545,90995.35686,184.818672027477,301.654366552185,10.4387503864264,11.4185637606808,76,"glutinata","G.glutinata",44,"Re-sampling","A"
44345.60941,267.1553525,90995.35686,210.583972348325,301.654366552185,10.6997689841899,11.4185637606808,76,"glutinata","G.glutinata",44,"Re-sampling","A"
48411.02573,278.5583664,90995.35686,220.025057050328,301.654366552185,10.7874828711001,11.4185637606808,76,"glutinata","G.glutinata",44,"Re-sampling","A"
38524.94659,239.986245,90995.35686,196.277728206743,301.654366552185,10.5590612738149,11.4185637606808,76,"glutinata","G.glutinata",44,"Re-sampling","A"
40437.01925,256.7122172,90995.35686,201.089580162673,301.654366552185,10.6075009624554,11.4185637606808,76,"glutinata","G.glutinata",44,"Re-sampling","A"
37195.94551,248.9507734,90995.35686,192.862504157755,301.654366552185,10.5239550426545,11.4185637606808,76,"glutinata","G.glutinata",44,"Re-sampling","A"
37839.33484,245.551691,90995.35686,194.523352942519,301.654366552185,10.5411044447872,11.4185637606808,76,"glutinata","G.glutinata",44,"Re-sampling","A"
90995.35686,373.6327207,90995.35686,301.654366552185,301.654366552185,11.4185637606808,11.4185637606808,76,"glutinata","G.glutinata",44,"Re-sampling","A"
81221.87085,362.6635677,90995.35686,284.994510210285,301.654366552185,11.3049398353261,11.4185637606808,76,"glutinata","G.glutinata",44,"Re-sampling","A"
36305.25341,249.0597791,90995.35686,190.539374959613,301.654366552185,10.4997177318203,11.4185637606808,76,"glutinata","G.glutinata",44,"Re-sampling","A"
38653.62446,253.5957107,90995.35686,196.605250336811,301.654366552185,10.5623958260742,11.4185637606808,76,"glutinata","G.glutinata",44,"Re-sampling","A"
