"species","sspname","sample","datasetAB","total_ind","area_min","area_log_min","area_sqrt_min","area_25q","area_log_25q","area_sqrt_25q","area_mean","area_log_mean","area_sqrt_mean","area_median","area_log_median","area_sqrt_median","area_75q","area_log_75q","area_sqrt_75q","area_95q","area_log_95q","area_sqrt_95q","area_max","area_log_max","area_log_max.1"
"inflata","G.inflata",27,"B",12,59794.4412,10.9986679790963,244.529019136789,104911.5204,11.560682696046,323.885159705955,128198.3811,11.7246438888467,354.961882590004,134369.4186,11.8075769154853,366.493688913076,151488.0153,11.9281141720688,389.200202694201,165937.72842,12.0180609230626,407.221288988861,175342.8888,12.074498700426,418.739643215208
"conglobatus","G.conglobatus",20,"A",1,115697.7123,11.6587361402983,340.143664206758,115697.7123,11.6587361402983,340.143664206758,115697.7123,11.6587361402983,340.143664206758,115697.7123,11.6587361402983,340.143664206758,115697.7123,11.6587361402983,340.143664206758,115697.7123,11.6587361402983,340.143664206758,115697.7123,11.6587361402983,340.143664206758
"dutertrei","N.dutertrei",20,"A",32,51474.99671,10.8488514679815,226.881018840272,81349.52153,11.3065101095857,285.218366504819,118684.321210625,11.6191173613491,339.071089592281,117834.54665,11.676360404933,343.212340092122,146706.311825,11.8961879222692,383.02259327522,195176.114865,12.1814305004285,441.76231280214,200958.1815,12.2108521131565,448.283594948555
"glutinata","G.glutinata",20,"A",51,22279.36606,10.0114162403151,149.262741700667,28776.973465,10.2673110944454,169.636935056109,39284.4768266667,10.5265195138184,195.569226490094,35663.9952,10.4818969210361,188.849133437249,44648.99565,10.7065257546349,211.299849411724,63019.86328,11.0505147437033,250.994249167269,84674.88082,11.3465742701857,290.98948575507
"glutinata","G.glutinata",20,"B",24,24515.5212,10.1070617143121,156.574331229611,38984.8707,10.5709277123303,197.445808222401,44354.3667,10.678175624087,209.491641390609,45127.0638,10.7171720856579,212.42784528923,49952.9538,10.8187585574386,223.497185693084,56482.54938,10.941644811046,237.658076381006,63508.7124,11.0589323786189,252.009349826549
"inflata","G.inflata",20,"A",10,31306.70502,10.3515875714782,176.937008621713,42456.606535,10.6552467446773,205.998541923788,58346.895646,10.911420092125,237.726094444582,53387.46428,10.8839010115156,230.97470266377,68970.4553425,11.1356032684942,262.248387697911,95365.8676635,11.452093152083,307.791289422026,109231.53,11.6012250368804,330.501936454236
"menardii","G.menardii",20,"A",36,99185.61443,11.5047482669305,314.937477017264,315194.4356,12.6608694870721,561.411227395721,463302.422425833,12.9394218251458,664.375634630883,460365.07575,13.0397436242978,678.49674389951,628094.4843,13.350397863255,792.51458950801,717494.49825,13.4809985126464,846.509676997745,831824.6874,13.6313769853408,912.044235440365
"obliquiloculata","P.obliquiloculata",20,"A",2,208142.2587,12.2459770609635,456.226104798925,210547.948325,12.2572757601386,458.832827203885,212953.63795,12.2685744593137,461.439549608845,212953.63795,12.2685744593137,461.439549608845,215359.327575,12.2798731584888,464.046272013805,217283.879275,12.2889121178289,466.131649937773,217765.0172,12.291171857664,466.652994418765
"ruber","G.ruber",20,"A",41,21330.49814,9.96789316515425,146.049642724657,30663.87666,10.330840584746,175.111040942597,49879.7371321951,10.6673245034316,214.563767791163,38068.8712,10.5471521982934,195.112457828812,57311.57226,10.9562578414741,239.398354756251,133680.7207,11.8032095544875,365.623741980742,158965.6916,11.9764436818187,398.705018277924
"sacculifer","G.sacculifer",20,"A",17,44483.06312,10.7028637916613,210.910083021178,69875.66998,11.1544727986762,264.340065029878,97360.1671829412,11.4194875056943,307.038600412599,99513.52116,11.5080488049696,315.457637663126,128182.0635,11.7612069033839,358.025227463094,145207.07036,11.8841650508111,380.891313083759,162889.893,12.0008297484664,403.596200428101
