_id,minimumDepthInMeters,dynamicProperties,verbatimLatitude,month,continent,occurrenceID,latestEpochOrHighestSeries,maximumDepthInMeters,waterBody,kingdom,decimalLatitude,earliestEraOrLowestErathem,infraspecificEpithet,latestEraOrHighestErathem,recordNumber,day,individualCount,lifeStage,scientificName,lowestBiostratigraphicZone,habitat,sex,year,eventTime,latestEonOrHighestEonothem,otherCatalogNumbers,latestPeriodOrHighestSystem,specificEpithet,geodeticDatum,collectionCode,higherGeography,latestAgeOrHighestStage,formation,earliestEpochOrLowestSeries,group,highestBiostratigraphicZone,earliestAgeOrLowestStage,country,decimalLongitude,genus,family,phylum,higherClassification,islandGroup,catalogNumber,verbatimLongitude,preparations,maximumElevationInMeters,earliestEonOrLowestEonothem,modified,bed,island,minimumElevationInMeters,subgenus,institutionCode,identificationQualifier,identifiedBy,earliestPeriodOrLowestSystem,georeferenceProtocol,locality,stateProvince,member,taxonRank,typeStatus,recordedBy,class,basisOfRecord,dateIdentified,scientificNameAuthorship,order
837154,,"{""identificationdescription"": ""Grey mud and sand"", ""collectionkind"": ""Ocean bottom deposits"", ""centroid"": false, ""recordtype"": ""Specimen"", ""created"": ""2005-09-27""}",04 49  N,8,,0008bb89-1028-4610-a90f-29358c0ad7d8,,,Western Central Pacific Ocean,,4.82,,,,,31,,,Grey mud and sand,,,,1966,,,NHMUK:ecatalogue:18315,,,,MIN,,,,,,,,,105.95,,,,,,"BM.1967,O72",105 57  E,,,,14/05/2008,,,,,NHMUK,,,,,,,,,,,,Specimen,,,
950586,,"{""identificationdescription"": ""Fine sand, broken shells, mud"", ""collectionkind"": ""Ocean bottom deposits"", ""centroid"": false, ""recordtype"": ""Specimen"", ""created"": ""2005-09-27""}",50 51 33 N,6,,0066e19d-ccac-4c66-9d5e-aca0f9800df8,,,Northeast Atlantic Ocean,,50.8592,,,,,1,,,"Fine sand, broken shells, mud",,,,1974,,,NHMUK:ecatalogue:20478,,,,MIN,,,,,,,,,0.014347,,,,,,"BM.1974,O225",000 00 51.65 E,,,,14/05/2008,,,,,NHMUK,,,,,,,,,,,,Specimen,,,
119947,,"{""collectionkind"": ""Ocean bottom deposits"", ""centroid"": false, ""recordtype"": ""Specimen"", ""created"": ""2005-09-27""}",24 23  S,8,,00f0f226-31e6-4626-84c2-4f60b5d1313a,,,Western Central Pacific Ocean,,-24.38,,,,,26,,,,,,,1888,,,NHMUK:ecatalogue:34760,,,,MIN,,,,,,,,,-176.4,,,,,,,176 24  W,,,,14/05/2008,,,,,NHMUK,,,,,,,,,,,,Specimen,,,
896177,,"{""identificationdescription"": ""Blue mud"", ""collectionkind"": ""Ocean bottom deposits"", ""centroid"": false, ""recordtype"": ""Specimen"", ""created"": ""2005-09-27""}",38 59 00 S,1,,00c0aab6-0366-4ec0-adf1-72280dcddf01,,,Southwest Pacific Ocean,,-38.9833,,,,,6,,,Blue mud,,,,1896,,,NHMUK:ecatalogue:36349,,,,MIN,,,,,,,,,179.18,,,,,,,179 11  E,,,,03/09/2008,,,,,NHMUK,,,,,,,,,,,,Specimen,,,
931962,,"{""identificationdescription"": ""Green speckled sand"", ""collectionkind"": ""Ocean bottom deposits"", ""centroid"": false, ""recordtype"": ""Specimen"", ""created"": ""2005-09-27""}",35 18  S,,,002da482-7b5b-443f-bbe9-478375b36a98,,,Southeast Atlantic Ocean,,-35.3,,,,,,,,Green speckled sand,,,,1865,,,NHMUK:ecatalogue:39241,,,,MIN,,,,,,,,,19.08,,,,,,,019 05  E,,,,14/05/2008,,,,,NHMUK,,,,,,,,,,,,Specimen,,,
731388,,"{""identificationdescription"": ""Washings\u00fbglobigerina ooze\u00fb84.86pc caco3"", ""collectionkind"": ""Ocean bottom deposits"", ""centroid"": false, ""recordtype"": ""Specimen"", ""created"": ""2005-09-27""}",38 58 45 N,5,,00adea89-a6b8-414c-baa3-468fffc726e1,,,Northeast Atlantic Ocean,,38.9792,,,,,21,,,Washingsûglobigerina oozeû84.86pc caco3,,,,1899,,,NHMUK:ecatalogue:31870,,,,MIN,,,,,,,,,-32.0875,,,,,,,032 05 15 W,,,,14/05/2008,,,,,NHMUK,,,,,,,,,,,,Specimen,,,
859797,,"{""collectionkind"": ""Ocean bottom deposits"", ""centroid"": false, ""recordtype"": ""Specimen"", ""created"": ""2011-07-14""}",,,,00822a97-7ac6-4f36-920b-83c8b89293df,,,,,,,,,,,,,,,,,,,,NHMUK:ecatalogue:2229260,,,,MIN,,,,,,,,,,,,,,,"BM.1971,O450",,,,,14/07/2011,,,,,NHMUK,,,,,,,,,,,,Specimen,,,
973331,,"{""identificationdescription"": ""Fine sand (wentworth classification)"", ""collectionkind"": ""Ocean bottom deposits"", ""centroid"": false, ""recordtype"": ""Specimen"", ""created"": ""2005-09-27""}",52 37 20 N,4,,0031cdfc-2d35-4866-8a79-029aae9e5106,,,Northeast Atlantic Ocean,,52.6222,,,,,26,,,Fine sand (wentworth classification),,,,1963,,,NHMUK:ecatalogue:16857,,,,MIN,,,,,,,,,-4.2472,,,,,,"BM.1964,275",004 14 50 W,,,,14/05/2008,,,,,NHMUK,,,,,,,,,,,,Specimen,,,
139597,,"{""identificationdescription"": ""? a pebble"", ""collectionkind"": ""Ocean bottom deposits"", ""centroid"": false, ""recordtype"": ""Specimen"", ""created"": ""2005-09-27""}",49 04  N,6,,007db02a-63c9-422b-88dc-d5bb8e8c64b6,,,Northeast Atlantic Ocean,,49.07,,,,,15,,,? a pebble,,,,1960,,,NHMUK:ecatalogue:29134,,,,MIN,,,,,,,,,-4.2,,,,,,"BM.1988,O403",004 12  W,,,,14/05/2008,,,,,NHMUK,,,,,,,,,,,,Specimen,,,
38346,,"{""identificationdescription"": ""Brown mud, grey mud"", ""collectionkind"": ""Ocean bottom deposits"", ""centroid"": false, ""recordtype"": ""Specimen"", ""created"": ""2005-09-27""}",35 43 48 N,4,,0010181c-7132-4432-9f84-aff11c3bfad8,,,Eastern Central Atlantic Ocean,,35.73,,,,,26,,,"Brown mud, grey mud",,,,1962,,,NHMUK:ecatalogue:16212,,,,MIN,,,,,,,,,34.62,,,,,,"BM.1963,158",034 37 12 E,,,,14/05/2008,,,,,NHMUK,,,,,,,,,,,,Specimen,,,
