Core,Coring device,"Latitude (decimal, from -90 to +90)","Longitude (decimal, from -180 to +180)",Water depth (m),Ocean,Sample depth - upper (m),Sample depth - lower (m),calendar age estimate (cal ky BP),Chronostratigraphic quality (chronozone level),sedimentation rate (cm/ky),Laboratory,Instrument,Publication,added by (name),date of addition,Orbulina universa,Globigerinoides conglobatus,Globigerinoides ruber (pink),Globigerinoides ruber (white),Globigerinoides ruber total,Globoturborotalita tenella,Globigerinoides sacc total,Sphaeroidinella dehiscens,Globigerinella adamsi,Globigerinella siphonifera,Globigerinella calida,Globigerina bulloides,Globigerina falconensis,Beela digitata,Globoturborotalita rubescens,Turborotalita humilis,Turborotalita quinqueloba,Neogloboquadrina pachyderma L,Neogloboquadrina pachyderma R,Neogloboquadrina dutertrei,Globoquadrina conglomerata,Globorotaloides hexagonus,Pulleniatina obliquiloculata,Globorotalia inflata,Globorotalia truncatulinoides total,Globorotalia crassaformis,Globorotalia crassula,Globorotalia hirsuta,Globorotalia scitula,Dentagloborotalia anfracta,Globorotalia menardii,Globorotalia tumida,Globorotalia menardii + tumida,Candeina nitida ,Globigerinita glutinata,Globorotalia theyeri,Tenuitella iota,Berggrenia pumilio + T. humilis,Globigerinita uvula,Other ID,Other UnID,Total Planktics,%(1) or Raw(2),Sum
FR10/95-GC14,,-20.05,112.66,997,Indo-Pacific,0.39,,,2,1.9,,,Martinez et al. (1999),TTB,01/01/03,0,0.33,,17.22,,2.32,,0,0,5.96,0.33,24.17,3.31,0.33,1.32,0,0,0,0.99,4.3,0,0.66,0.66,13.25,0.99,0.33,0.33,0,0,0,2.32,0.33,2.65,0,18.54,0,0,,,,,,,
FR10/95-GC17,,-22.13,113.5,1093,Indo-Pacific,1.43,,,2,6.9,,,Martinez et al. (1999),TTB,01/01/03,0,0,,13.6,,2.6,,0,0,4.2,0,14.3,3.6,0,2.9,0.3,0,0,1,2.6,0,0,1,23.7,0.3,0,0.3,0,0,0,1.9,0,1.9,0,26.9,0,0,,,,,,,
FR10/95-GC20,,-24.74,111.83,841,Indo-Pacific,0.64,,,2,3.1,,,Martinez et al. (1999),TTB,01/01/03,0,0.3,,18.4,,2.8,,0,0,1.3,0,11.9,5.3,0,2.5,0,0,0,0,2.5,0,0,0,29.1,0.3,0,0.3,0,0,0,0.6,0,0.6,0,23.8,0,0,,,,,,,
FR10/95-GC29,,-30.99,114.59,1220,Indo-Pacific,0.91,,,2,4.4,,,Martinez et al. (1999),TTB,01/01/03,0,0.6,,12,,0.8,,0,0,3.1,0.8,12.6,3.6,0,0.8,0.3,0.3,0,0.6,0,0,0,0,43.1,2.5,0,3.4,0.6,0,0,0.8,0.3,1.1,0,13.7,0,0,,,,,,,
FR2/96-GC10,,-24.46,108.51,2852,Indo-Pacific,0.26,,,2,1.3,,,Martinez et al. (1999),TTB,01/01/03,0.5,0.5,,19.4,,2.2,,0,0,3.2,0,9.2,5.1,0.3,2.2,0.3,0,0,0,1.9,0,0,0.3,29.9,1.1,0,2.2,0,0.5,0,0.3,0,0.3,0,18.3,0,0,,,,,,,
FR2/96-GC17,,-12.25,112.74,2571,Indo-Pacific,0.43,,,2,2.1,,,Martinez et al. (1999),TTB,01/01/03,0,1.31,,19.9,,0.3,,0.3,0,4.9,0,8.49,0.3,0,0.3,0,0,0,8.8,16,0,0,5.55,0,1.96,0,0.98,0,0.3,0,15.7,1.6,17.3,0,7.8,0,0,,,,,,,
FR2/96-GC27,,-18.56,116.27,1024,Indo-Pacific,1.29,,,2,6.3,,,Martinez et al. (1999),TTB,01/01/03,0,1.66,,38.4,,6.29,,0.33,0,5.96,0,4.3,1.3,0.33,1.7,0,0,0,1.98,2.98,0.33,0.99,4.96,0.33,0.33,0,0.99,0,0,0,5.3,0,5.3,0,11.92,0,0,,,,,,,
K12,,2.69,127.74,3510,Indo-Pacific,2.8675,,,2,13.9,,,Barmawidjaja et al. (1993),TTB,01/01/03,0,0.3,,10.8,,0.6,,0,,0,0,10.5,1.2,,0.9,,,,6.3,34,,,10.2,,0,0.3,,,0,,14.1,,14.1,,15.7,,,,,0,,,,
MD76-131,,15.32,72.34,1230,Indo-Pacific,1.9,,,4,9.2,,,Prell (1985),TTB,01/01/03,1.4,0.9,,30.9,,4.1,,0,,4.5,0.9,12.3,1.8,0,1.8,,0,0,0,5.5,0.5,1.4,4.5,0,0,0,,0,0.5,,,,0,,16.4,,,,,,,,,
MD77-169,,10.13,95.03,2360,Indo-Pacific,1.51,,,4,7.3,,,Prell (1985),TTB,01/01/03,0.3,1.8,,29.4,,3.6,,0,,1.6,8.6,9.4,1,0.3,1,,0,0,0,15.6,1,1.3,7.5,0,0,0.3,,0,0.3,,,,0,,12.5,,,,,,,,,
