"sample","c22","Lat","Long"
228,0.98493935310813,59.522,-39.445
229,0.981212669771931,59.522,-39.445
230,0.143343954029604,59.469,-23.2427
231,0.195049468626478,59.469,-23.2427
232,0.37216023254867,59.186,-30.9048
233,0.364985320240195,59.186,-30.9048
234,0.362306541057151,59.186,-30.9048
235,0.360846233381902,59.186,-30.9048
236,0.369874205977003,59.186,-30.9048
237,0.368109220515623,59.186,-30.9048
238,0.364002294333149,59.186,-30.9048
239,0.373791400543104,59.186,-30.9048
240,0.377546146958847,59.186,-30.9048
241,0.378234196637321,59.186,-30.9048
242,0.376716532990942,59.186,-30.9048
243,0.382348743447534,59.186,-30.9048
244,0.379808321344884,59.186,-30.9048
245,0.658317047868096,59.186,-30.9048
246,0.954490275678468,59.186,-30.9048
247,0.880321590294263,59.186,-30.9048
248,0.431295922844562,59.186,-30.9048
249,0.384273885366359,59.186,-30.9048
250,0.382525712797285,59.186,-30.9048
251,0.372535040211134,59.186,-30.9048
252,0.117570902291251,58.629,-19.4349
253,0.14728650910718,58.629,-19.4349
254,0.105756118995778,58.629,-19.4349
255,0.125350105822142,58.629,-19.4349
256,0.0981343845184088,58.629,-19.4349
257,0.164169005560013,58.629,-19.4349
258,1,58.21,-48.3733
259,0.107944010733494,58.001,-16.5014
260,0.104352509010554,58.001,-16.5014
261,0.103487837272148,58.001,-16.5014
262,0.17444576632008,58.001,-16.5014
263,0.105400514692674,58.001,-16.5014
264,0.160605828445882,58.001,-16.5014
265,0.153006406670073,58.001,-16.5014
266,0.175258780838977,58.001,-16.5014
267,0.169082341167095,58.001,-16.5014
268,0.262617500678883,58.001,-16.5014
269,0.306879204838528,58.001,-16.5014
270,0.335874371685486,58.001,-16.5014
271,0.388313338062498,58.001,-16.5014
272,0.407874776120331,58.001,-16.5014
273,0.380851603229008,58.001,-16.5014
274,0.367894436348913,58.001,-16.5014
275,0.0418373105014662,56.163,-31.99
276,0.0599058052205907,55.5,-14.5833
277,0.0375990609589296,55.5,-14.5833
278,0.0522245221639253,55.5,-14.5833
279,0.0488735941707588,55.5,-14.5833
280,0.0527036748594889,55.5,-14.5833
281,0.043706814880313,55.5,-14.5833
282,0.0412764013597744,55.5,-14.5833
283,0.0692678140332696,55.47,-27.8883
284,0.0998866238452605,55.47,-27.8883
285,0.222574072691391,55.47,-27.8883
286,0.0473557016322015,55.26,-26.725
287,0.0563203301803967,55.26,-26.725
288,0.198964921594477,54.962,-19.755
289,0.0538401751785971,54.25,-16.83
290,0.0374372492991797,54.25,-16.83
291,0.0613497739231295,54.25,-16.83
292,0.0445392147104193,54.25,-16.83
293,0.0141745147674013,52.567,-21.94
294,0.0254264520242136,52.567,-21.94
295,0.0324194127985862,52.567,-21.94
296,0.0424791321209568,52.503,-22.0623
297,0.0563829844046126,52.503,-22.0623
298,0.0413259465741391,52.503,-22.0623
299,0.0363052786723033,52.503,-22.0623
300,0.0348331235390631,52.503,-22.0623
301,0.0426248519390091,52.503,-22.0623
302,0.0344280482253347,52.503,-22.0623
303,0.0384142660733353,52.503,-22.0623
304,0.03516048654413,52.503,-22.0623
305,0.0421586113589238,52.503,-22.0623
306,0.0427292393024634,52.503,-22.0623
307,0.0484597867128171,52.503,-22.0623
308,0.0559016535640269,52.503,-22.0623
309,0.0433920820458806,52.503,-22.0623
310,0.0419858598368794,52.503,-22.0623
311,0.0515579240270332,52.503,-22.0623
312,0.0418336864135114,52.503,-22.0623
313,0.046713492699513,52.503,-22.0623
314,0.103591925044914,52.425,-16.665
315,0.0196311462425183,50.688,-21.8635
316,0.0363249801739978,50.688,-21.8635
317,0.0321932132424814,50.688,-21.8635
318,0.0434428526671975,50.688,-21.8635
319,0.0169139277446571,50.688,-21.8635
320,0.030774316075963,50.688,-21.8635
321,0.022705778561585,50.688,-21.8635
322,0.0380984537980178,50.688,-21.8635
323,0.0366276906053109,50.688,-21.8635
324,0.0453933362970065,50.688,-21.8635
325,0.230377283991283,50.39,-45.26
326,0.285248044151469,50.39,-45.26
327,0.228767533540789,50.39,-45.26
328,0.234490153422784,50.39,-45.26
329,0.0313148369165668,50,-23.75
330,0.0648528727473625,48.215,-27.0567
331,0.0444076193048477,48.215,-27.0567
332,0.227641495768443,44.36,-26.5433
333,0.202758050688552,44.36,-26.5433
334,0.227878335730857,44.36,-26.5433
335,0.304031446502117,44.36,-26.5433
336,0.545116296015876,44.017,-24.53
337,0.770898816366619,44.017,-24.53
338,0.356305793188939,43.465,-30.66
339,0.891257957050347,40.582,-9.8612
340,0.90501664614435,40.582,-9.8612
341,0.938007173030118,40.582,-9.8612
342,0.953974398084107,40.582,-9.8612
343,0.931618628062419,40.582,-9.8612
344,0.936365842714209,40.582,-9.8612
345,0.991045532077113,40.582,-9.8612
346,0.967675053442814,40.582,-9.8612
347,0.966218611332756,40.582,-9.8612
348,1,40.582,-9.8612
349,0.963209463691369,40.582,-9.8612
350,0.996209759479978,40.582,-9.8612
351,1,40.582,-9.8612
352,0.977242737290807,40.582,-9.8612
353,0.98761752839673,40.582,-9.8612
354,0.983980355977749,40.582,-9.8612
355,0.990755687521592,40.582,-9.8612
356,0.911670016057725,40.582,-9.8612
357,0.999121705812582,40.582,-9.8612
358,0.97644478998066,40.582,-9.8612
359,0.98661342753462,40.582,-9.8612
360,0.945483363418881,40.582,-9.8612
361,0.976278950704802,40.582,-9.8612
362,0.966049025879498,40.582,-9.8612
363,0.993055857516487,40.582,-9.8612
364,0.985918784764413,40.582,-9.8612
365,0.985153529082704,40.582,-9.8612
366,0.959023556204534,40.582,-9.8612
367,0.996082293518044,40.582,-9.8612
368,0.973260073646206,40.582,-9.8612
369,0.940578738573366,40.582,-9.8612
370,0.958684526054463,40.582,-9.8612
371,0.918911617903376,40.582,-9.8612
372,0.926514298462089,40.582,-9.8612
373,0.944780782749498,40.582,-9.8612
374,0.932395036583823,40.582,-9.8612
375,0.924354171879704,40.582,-9.8612
376,0.937025755354334,40.582,-9.8612
377,0.945698095156713,40.582,-9.8612
378,0.893003086306134,40.582,-9.8612
379,0.97164901348717,40.582,-9.8612
380,0.922631263360946,40.582,-9.8612
381,0.894180495709443,40.579,-10.3485
382,0.909906022790647,40.579,-10.3485
383,0.914983184088894,40.579,-10.3485
384,0.890597080347804,40.579,-10.3485
385,0.944135813863214,40.579,-10.3485
386,0.820008682593523,40.505,-32.0533
387,0.79123803582907,40.505,-32.0533
388,0.743978905896461,40.505,-32.0533
389,0.719271047500209,40.505,-32.0533
390,0.721022155150658,40.505,-32.0533
391,0.825007108828057,40.505,-32.0533
392,0.799697058073133,40.505,-32.0533
393,0.844667124510154,40.505,-32.0533
394,0.885525037751459,40.505,-32.0533
395,0.835828812330711,40.505,-32.0533
396,0.625795753483789,37.999,-31.1283
397,0.800050658751269,37.767,-10.183
398,0.93748503112394,37.767,-10.183
399,0.919252798417838,37.767,-10.183
400,0.895383592145557,37.767,-10.183
401,0.98238623373735,37.767,-10.183
402,0.924565935443119,37.767,-10.183
403,0.981833333568412,37.767,-10.183
404,0.889867057538049,37.767,-10.183
405,0.790893745365832,37.767,-10.183
406,0.737297811778205,37.767,-10.183
407,0.835084496545045,37.767,-10.183
408,0.922602939994943,37.767,-10.183
409,0.804836118630655,37.767,-10.183
410,0.523163536945487,37.767,-10.183
411,0.894276369192015,37.767,-10.183
412,0.69142081456843,37.578,-31.8422
413,0.696063692879087,37.578,-31.8422
414,0.710989776708447,37.111,-32.2868
415,0.724009698168794,37.111,-32.2868
416,0.722713480932435,37.111,-32.2868
417,0.653064402086977,36.512,-23.7367
418,0.659583089729037,36.512,-23.7367
419,0.651305574502882,34.892,-7.815
420,0.851323393786801,34.892,-7.815
421,0.606808439176381,34.892,-7.815
422,0.747435342716004,34.892,-7.815
423,0.91474677629232,34.892,-7.815
424,0.818451080512328,32.75,-41.9
425,0.760033465744438,32.75,-41.9
426,0.83062917286889,32.75,-41.9
427,0.792362644975558,32.75,-41.9
428,0.829660804926304,29.167,-12.0867
