"sample","Estimate","se","lci","uci","comparison","index","lat","long"
"A27",0.861503628927533,0.041388779410632,0.780381621282694,0.942625636572372,"Holocene and LGM","c1242",-19.56667,64.63333
"A27",0.8,0.1885,0.43054,1.16946,"Historical and Holocene","c024",-19.56667,64.63333
"A27",0.922529123392954,0.0361702734754217,0.851635387381127,0.993422859404781,"Historical and Holocene","c124",-19.56667,64.63333
"A27",1,0.0221729798338626,0.956540959525629,1,"Historical and Holocene","c224",-19.56667,64.63333
"A27",0.7727,0.1617,0.455768,1.089632,"Holocene and LGM","c0242",-19.56667,64.63333
"A27",0.8511,0.1714,0.515156,1.187044,"Historical and LGM","c0241",-19.56667,64.63333
"A27",0.828501106957489,0.0574845540874543,0.715831380946078,0.941170832968899,"Historical and LGM","c1241",-19.56667,64.63333
"A27",0.933728481183314,0.0408115025815258,0.853737936123524,1,"Historical and LGM","c2241",-19.56667,64.63333
"A27",0.8405,0.095,0.6543,1.0267,"Historical and LGM","chao_jaccard41",-19.56667,64.63333
"A27",0.9133,0.0584,0.798836,1.027764,"Historical and LGM","chao_sorensen41",-19.56667,64.63333
"A27",0.9717,0.0412,0.890948,1.052452,"Historical and Holocene","chao_sorensen4",-19.56667,64.63333
"A27",0.954487057139262,0.0382445229467289,0.879527792163673,1,"Holocene and LGM","c2242",-19.56667,64.63333
"A27",0.8533,0.0738,0.708652,0.997948,"Holocene and LGM","chao_jaccard42",-19.56667,64.63333
"A27",0.9209,0.0441,0.834464,1.007336,"Holocene and LGM","chao_sorensen42",-19.56667,64.63333
"A27",0.945,0.0718,0.804272,1.085728,"Historical and Holocene","chao_jaccard4",-19.56667,64.63333
"A31",0.7386,0.1625,0.4201,1.0571,"Historical and LGM","c0251",-15.65,-179.0625
"A31",0.876136173338396,0.0391091291203554,0.799482280262499,0.952790066414292,"Holocene and LGM","c1252",-15.65,-179.0625
"A31",0.962984041026645,0.036644584039509,0.891160656309207,1,"Holocene and LGM","c2252",-15.65,-179.0625
"A31",0.7027,0.1254,0.456916,0.948484,"Holocene and LGM","c0252",-15.65,-179.0625
"A31",0.8255,0.1419,0.547376,1.103624,"Historical and Holocene","c025",-15.65,-179.0625
"A31",0.955131709656442,0.0252418169693045,0.905657748396605,1,"Historical and Holocene","c125",-15.65,-179.0625
"A31",1,0.0280342723500731,0.945052826193857,1,"Historical and Holocene","c225",-15.65,-179.0625
"A31",0.9512,0.0442,0.864568,1.037832,"Historical and Holocene","chao_jaccard5",-15.65,-179.0625
"A31",0.975,0.0238,0.928352,1.021648,"Historical and Holocene","chao_sorensen5",-15.65,-179.0625
"A31",0.916384038638765,0.0325348019151529,0.852615826885066,0.980152250392465,"Historical and LGM","c1251",-15.65,-179.0625
"A31",0.979614151916795,0.0354451723063577,0.910141614196334,1,"Historical and LGM","c2251",-15.65,-179.0625
"A31",0.8761,0.0653,0.748112,1.004088,"Historical and LGM","chao_jaccard51",-15.65,-179.0625
"A31",0.9339,0.0374,0.860596,1.007204,"Historical and LGM","chao_sorensen51",-15.65,-179.0625
"A31",0.8561,0.0749,0.709296,1.002904,"Holocene and LGM","chao_jaccard52",-15.65,-179.0625
"A31",0.9225,0.0454,0.833516,1.011484,"Holocene and LGM","chao_sorensen52",-15.65,-179.0625
"A44",0.6842,0.1091,0.470364,0.898036,"Historical and LGM","c0261",-7.59167,61.48333
"A44",0.850025124841586,0.043053460257482,0.765640342736921,0.93440990694625,"Historical and LGM","c1261",-7.59167,61.48333
"A44",0.9231,0.1241,0.679864,1.166336,"Holocene and LGM","c0262",-7.59167,61.48333
"A44",0.85097014032086,0.0448831387473162,0.762999188376121,0.9389410922656,"Holocene and LGM","c1262",-7.59167,61.48333
"A44",0.898801151485108,0.0699758113955248,0.761648561149879,1,"Holocene and LGM","c2262",-7.59167,61.48333
"A44",0.8291,0.0731,0.685824,0.972376,"Holocene and LGM","chao_jaccard62",-7.59167,61.48333
"A44",0.9066,0.0464,0.815656,0.997544,"Holocene and LGM","chao_sorensen62",-7.59167,61.48333
"A44",0.7027,0.1067,0.493568,0.911832,"Historical and Holocene","c026",-7.59167,61.48333
"A44",0.79522474133553,0.0462975038399232,0.704481633809281,0.885967848861779,"Historical and Holocene","c126",-7.59167,61.48333
"A44",0.771829867565865,0.0839080669288457,0.607370056385328,0.936289678746403,"Historical and Holocene","c226",-7.59167,61.48333
"A44",0.8667,0.0731,0.723424,1.009976,"Historical and Holocene","chao_jaccard6",-7.59167,61.48333
"A44",0.9286,0.0447,0.840988,1.016212,"Historical and Holocene","chao_sorensen6",-7.59167,61.48333
"A44",0.864487813693391,0.0836153461769048,0.700601735186658,1,"Historical and LGM","c2261",-7.59167,61.48333
"A44",0.8498,0.0589,0.734356,0.965244,"Historical and LGM","chao_jaccard61",-7.59167,61.48333
"A44",0.9188,0.0348,0.850592,0.987008,"Historical and LGM","chao_sorensen61",-7.59167,61.48333
"A46",0.97,0.0336,0.904144,1.035856,"Holocene and LGM","chao_sorensen72",-0.7,147
"A46",0.8667,0.1264,0.618956,1.114444,"Historical and LGM","c0271",-0.7,147
"A46",0.901900955543411,0.0354757405370917,0.832368504090711,0.971433406996111,"Historical and LGM","c1271",-0.7,147
"A46",0.957304180793934,0.046804312122523,0.865567729033789,1,"Historical and LGM","c2271",-0.7,147
"A46",0.9262,0.057,0.81448,1.03792,"Historical and LGM","chao_jaccard71",-0.7,147
"A46",0.9617,0.0318,0.899372,1.024028,"Historical and LGM","chao_sorensen71",-0.7,147
"A46",0.7,0.1474,0.411096,0.988904,"Holocene and LGM","c0272",-0.7,147
"A46",0.904205923619327,0.0390984854938883,0.827572892051306,0.980838955187348,"Holocene and LGM","c1272",-0.7,147
"A46",0.942746005212557,0.0489196138176742,0.846863562129916,1,"Holocene and LGM","c2272",-0.7,147
"A46",0.9418,0.06,0.8242,1.0594,"Holocene and LGM","chao_jaccard72",-0.7,147
"A46",0.7619,0.154,0.46006,1.06374,"Historical and Holocene","c027",-0.7,147
"A46",0.94311173607277,0.0335279094459162,0.877397033558774,1,"Historical and Holocene","c127",-0.7,147
"A46",1,0.041576339142078,0.918510375281527,1,"Historical and Holocene","c227",-0.7,147
"A46",0.9791,0.0552,0.870908,1.087292,"Historical and Holocene","chao_jaccard7",-0.7,147
"A46",0.9895,0.0303,0.930112,1.048888,"Historical and Holocene","chao_sorensen7",-0.7,147
"A5",0.8571,0.1037,0.653848,1.060352,"Historical and Holocene","c02",-50.01667,123.06667
"A5",0.986825958785603,0.016375910358083,0.954729174483761,1,"Historical and Holocene","c12",-50.01667,123.06667
"A5",0.998734089749412,0.0281652121934305,0.943530273850288,1,"Historical and Holocene","c22",-50.01667,123.06667
"A5",0.9918,0.0212,0.950248,1.033352,"Historical and Holocene","chao_jaccard",-50.01667,123.06667
"A5",0.9959,0.011,0.97434,1.01746,"Historical and Holocene","chao_sorensen",-50.01667,123.06667
"A5",0.6667,0.1294,0.413076,0.920324,"Historical and LGM","c029",-50.01667,123.06667
"A5",0.925850832962249,0.0295355391398516,0.86796117624814,0.983740489676358,"Historical and LGM","c129",-50.01667,123.06667
"A5",0.976301300314332,0.029453177319647,0.918573072767824,1,"Historical and LGM","c229",-50.01667,123.06667
"A5",0.9273,0.0473,0.834592,1.020008,"Historical and LGM","chao_jaccard9",-50.01667,123.06667
"A5",0.9623,0.0262,0.910948,1.013652,"Historical and LGM","chao_sorensen9",-50.01667,123.06667
"A5",0.7778,0.1211,0.540444,1.015156,"Holocene and LGM","c0210",-50.01667,123.06667
"A5",0.936098657328394,0.0270314714291398,0.88311697332728,0.989080341329508,"Holocene and LGM","c1210",-50.01667,123.06667
"A5",0.987300234768091,0.0236486263652524,0.940948927092197,1,"Holocene and LGM","c2210",-50.01667,123.06667
"A5",0.9333,0.047,0.84118,1.02542,"Holocene and LGM","chao_jaccard10",-50.01667,123.06667
"A5",0.9655,0.026,0.91454,1.01646,"Holocene and LGM","chao_sorensen10",-50.01667,123.06667
"A55",0.8718,0.1403,0.596812,1.146788,"Historical and Holocene","c028",24.33333,-24.46667
"A55",0.932091939249853,0.0332528079789779,0.866916435611056,0.997267442888649,"Historical and Holocene","c128",24.33333,-24.46667
"A55",0.967037251220155,0.0677267278545766,0.834292864625185,1,"Historical and Holocene","c228",24.33333,-24.46667
"A55",0.9748,0.0543,0.868372,1.081228,"Historical and Holocene","chao_jaccard8",24.33333,-24.46667
"A55",0.9872,0.0299,0.928596,1.045804,"Historical and Holocene","chao_sorensen8",24.33333,-24.46667
"A55",0.7059,0.123,0.46482,0.94698,"Historical and LGM","c0281",24.33333,-24.46667
"A55",0.450311364741588,0.0683777100820148,0.316291052980839,0.584331676502337,"Historical and LGM","c1281",24.33333,-24.46667
"A55",0.22194860461472,0.059953578818772,0.104439590129927,0.339457619099513,"Historical and LGM","c2281",24.33333,-24.46667
"A55",0.7806,0.17,0.4474,1.1138,"Historical and LGM","chao_jaccard81",24.33333,-24.46667
"A55",0.8768,0.1268,0.628272,1.125328,"Historical and LGM","chao_sorensen81",24.33333,-24.46667
"A55",0.6486,0.0923,0.467692,0.829508,"Holocene and LGM","c0282",24.33333,-24.46667
"A55",0.399239769096891,0.084196508130232,0.234214613161636,0.564264925032145,"Holocene and LGM","c1282",24.33333,-24.46667
"A55",0.18150138165942,0.0501992498314589,0.0831108519897607,0.27989191132908,"Holocene and LGM","c2282",24.33333,-24.46667
"A55",0.6558,0.1799,0.303196,1.008404,"Holocene and LGM","chao_jaccard82",24.33333,-24.46667
"A55",0.7921,0.1495,0.49908,1.08512,"Holocene and LGM","chao_sorensen82",24.33333,-24.46667
