"area","diam.max","species","sspname","sample","dataset","datasetAB","area_log","total_ind","area_max","area_log_max"
28968.60448,216.9514934,"falconensis","G.falconensis",25,"Resample","A",10.2739679183915,17,45276.51335,10.7205437079246
34433.39258,234.6187933,"falconensis","G.falconensis",25,"Resample","A",10.4467820870577,17,45276.51335,10.7205437079246
37141.65954,254.0670087,"falconensis","G.falconensis",25,"Resample","A",10.5224945172687,17,45276.51335,10.7205437079246
35350.22238,232.721523,"falconensis","G.falconensis",25,"Resample","A",10.4730599621112,17,45276.51335,10.7205437079246
33649.26184,232.5616378,"falconensis","G.falconensis",25,"Resample","A",10.4237463984281,17,45276.51335,10.7205437079246
38386.21577,242.6399486,"falconensis","G.falconensis",25,"Resample","A",10.5554537098098,17,45276.51335,10.7205437079246
34003.12597,230.6169341,"falconensis","G.falconensis",25,"Resample","A",10.4342077396662,17,45276.51335,10.7205437079246
36329.38051,251.2499672,"falconensis","G.falconensis",25,"Resample","A",10.500382073322,17,45276.51335,10.7205437079246
45041.27412,281.5878244,"falconensis","G.falconensis",25,"Resample","A",10.7153345510458,17,45276.51335,10.7205437079246
36735.52002,235.1751583,"falconensis","G.falconensis",25,"Resample","A",10.5114994139362,17,45276.51335,10.7205437079246
40248.02363,262.3980012,"falconensis","G.falconensis",25,"Resample","A",10.6028161792809,17,45276.51335,10.7205437079246
44546.66858,270.6954241,"falconensis","G.falconensis",25,"Resample","A",10.7042926507538,17,45276.51335,10.7205437079246
45276.51335,264.0060039,"falconensis","G.falconensis",25,"Resample","A",10.7205437079246,17,45276.51335,10.7205437079246
41227.18177,256.5594462,"falconensis","G.falconensis",25,"Resample","A",10.6268530694962,17,45276.51335,10.7205437079246
37081.34179,242.5529267,"falconensis","G.falconensis",25,"Resample","A",10.5208692053789,17,45276.51335,10.7205437079246
30166.9171,232.946041,"falconensis","G.falconensis",25,"Resample","A",10.3145011426429,17,45276.51335,10.7205437079246
37368.85639,243.5290986,"falconensis","G.falconensis",25,"Resample","A",10.5285929196564,17,45276.51335,10.7205437079246
28957.69207,212.3617347,"glutinata","G.glutinata",20,"Resample","A",10.2735911496085,51,84674.88082,11.3465742701857
29269.84239,214.1720516,"glutinata","G.glutinata",20,"Resample","A",10.2843129949772,51,84674.88082,11.3465742701857
33768.09275,224.7279145,"glutinata","G.glutinata",20,"Resample","A",10.4272716341418,51,84674.88082,11.3465742701857
30120.86273,215.0982301,"glutinata","G.glutinata",20,"Resample","A",10.3129733245979,51,84674.88082,11.3465742701857
27203.07871,204.7360714,"glutinata","G.glutinata",20,"Resample","A",10.2110854337465,51,84674.88082,11.3465742701857
27288.50932,207.6364311,"glutinata","G.glutinata",20,"Resample","A",10.2142209885388,51,84674.88082,11.3465742701857
65360.99066,321.7588538,"glutinata","G.glutinata",20,"Resample","A",11.0876808863958,51,84674.88082,11.3465742701857
57054.50642,301.0624433,"glutinata","G.glutinata",20,"Resample","A",10.9517623428805,51,84674.88082,11.3465742701857
43592.61326,271.6897782,"glutinata","G.glutinata",20,"Resample","A",10.6826429943416,51,84674.88082,11.3465742701857
35663.9952,245.0801759,"glutinata","G.glutinata",20,"Resample","A",10.4818969210361,51,84674.88082,11.3465742701857
45531.23102,281.3153389,"glutinata","G.glutinata",20,"Resample","A",10.726153765521,51,84674.88082,11.3465742701857
33886.38129,222.3983796,"glutinata","G.glutinata",20,"Resample","A",10.4307684807943,51,84674.88082,11.3465742701857
50459.92024,277.0608087,"glutinata","G.glutinata",20,"Resample","A",10.8289346415359,51,84674.88082,11.3465742701857
34096.67203,242.553335,"glutinata","G.glutinata",20,"Resample","A",10.4369550640808,51,84674.88082,11.3465742701857
39728.52091,249.2082863,"glutinata","G.glutinata",20,"Resample","A",10.589824619573,51,84674.88082,11.3465742701857
39133.79241,245.0801759,"glutinata","G.glutinata",20,"Resample","A",10.5747416287295,51,84674.88082,11.3465742701857
39028.64704,242.4720413,"glutinata","G.glutinata",20,"Resample","A",10.5720511949569,51,84674.88082,11.3465742701857
41450.27635,258.4191424,"glutinata","G.glutinata",20,"Resample","A",10.63224982761,51,84674.88082,11.3465742701857
39850.09525,258.679668,"glutinata","G.glutinata",20,"Resample","A",10.5928800744288,51,84674.88082,11.3465742701857
52345.96532,302.2986433,"glutinata","G.glutinata",20,"Resample","A",10.8656301420773,51,84674.88082,11.3465742701857
59817.85818,314.4299922,"glutinata","G.glutinata",20,"Resample","A",10.9990595271297,51,84674.88082,11.3465742701857
28596.25486,210.0593052,"glutinata","G.glutinata",20,"Resample","A",10.2610310392823,51,84674.88082,11.3465742701857
47348.27445,271.9557141,"glutinata","G.glutinata",20,"Resample","A",10.7652856555003,51,84674.88082,11.3465742701857
41446.99056,254.5502589,"glutinata","G.glutinata",20,"Resample","A",10.6321705538263,51,84674.88082,11.3465742701857
43043.88586,255.2270412,"glutinata","G.glutinata",20,"Resample","A",10.6699754756115,51,84674.88082,11.3465742701857
54445.58693,287.5705714,"glutinata","G.glutinata",20,"Resample","A",10.904957076959,51,84674.88082,11.3465742701857
36564.30243,241.8410885,"glutinata","G.glutinata",20,"Resample","A",10.5068276999899,51,84674.88082,11.3465742701857
44154.48383,259.5356482,"glutinata","G.glutinata",20,"Resample","A",10.6954497598787,51,84674.88082,11.3465742701857
84674.88082,368.521897,"glutinata","G.glutinata",20,"Resample","A",11.3465742701857,51,84674.88082,11.3465742701857
