"species","sspname","sample","datasetAB","total_ind","area_min","area_log_min","area_25q","area_log_25q","area_mean","area_log_mean","area_median","area_log_median","area_75q","area_log_75q","area_95q","area_log_95q","area_max","area_log_max"
"obliquiloculata","P.obliquiloculata",25,"A",3,73400.30532,11.203683374267,101604.39641,11.4887494222207,130372.947073333,11.7070725019316,129808.4875,11.7738154701744,158859.26795,11.9587670657639,182099.89231,12.1067283422354,187910.0484,12.1437186613533
"obliquiloculata","P.obliquiloculata",25,"B",4,86686.2972,11.3700511018348,119425.8006,11.6759331143365,127836.162,11.7364825435421,137005.353,11.8265900807425,145415.7144,11.8871395099481,149601.25872,11.9155870306684,150647.6448,11.9226989108485
"ruber","G.ruber",25,"A",62,23693.85198,10.072970883344,34076.9572725,10.4363721869485,53365.973476129,10.8019180937643,47805.92616,10.7747200438846,67105.703125,11.1140216230019,92365.114606,11.4335009078928,116481.3553,11.6654864988367
"ruber","G.ruber",25,"B",71,57790.8648,10.9645859937266,87738.0084,11.3821063198978,114524.76828169,11.6066617850058,107094.8196,11.5814698855181,134665.6284,11.810548104801,179130.3804,12.0955101668111,228201.3612,12.3379836813354
"sacculifer","G.sacculifer",25,"A",28,35959.71656,10.4901546064633,57176.9022025,10.9535772798331,111620.259481429,11.4777115533771,104797.076,11.5596280808372,154136.54095,11.9453487670929,216684.40002,12.2832155640524,240451.0323,12.3902717398968
"sacculifer","G.sacculifer",25,"B",14,123596.0352,11.7247737458213,232356.6189,12.3536768122225,289829.6406,12.5204151930063,274519.9206,12.5224929407889,337416.2442,12.7247861643341,458412.62238,13.0285029144335,534029.6592,13.188206657973
"tenellus","G.tenellus",25,"A",20,21894.19,9.99397658380352,24302.3980725,10.097943791576,27459.939644,10.2110190401747,26924.55589,10.2007483617943,30957.763185,10.3403743940963,33349.097243,10.4146879402651,35423.96399,10.4751438189654
"tenellus","G.tenellus",25,"B",7,16607.718,9.71762280605267,18318.4128,9.81442133634968,25568.1833142857,10.1019230698096,24715.2132,10.1151742520441,31125.3264,10.3432501850639,37137.38688,10.5200361846146,38766.8736,10.5653213877436
"truncatulinoides","G.truncatulinoides",25,"A",12,57919.11364,10.9668027237657,75108.1642975,11.2266780282751,130495.4404,11.6862154888147,126727.59165,11.7348112627548,184194.3222,12.1233102208522,202883.87736,12.2203813069295,203767.4319,12.2247345827809
"truncatulinoides","G.truncatulinoides",25,"B",2,288155.556,12.5712557383031,322913.6127,12.6696865457035,357671.6694,12.7681173531039,357671.6694,12.7681173531039,392429.7261,12.8665481605042,420236.17146,12.9452928064245,427187.7828,12.9649789679046
"universa","O.universa",25,"A",6,185304.1688,12.1297539095919,260715.9324,12.4709172700005,294398.536533333,12.5593167357668,284098.6106,12.5560594919854,310483.6048,12.6455612141226,409269.50165,12.9121613792896,440689.52,12.9960958701979
"universa","O.universa",25,"B",5,189421.1748,12.1517282528515,341233.6896,12.7403228282951,341622.42336,12.7062673452208,382616.5284,12.8547885352643,384839.766,12.8605823344301,404968.7196,12.9112482870965,410000.958,12.9239147752631
"calida","G.calida",27,"A",11,32405.74445,10.3860909839045,39390.94874,10.5811456234791,61150.2624181818,10.923595839835,49054.3453,10.8006840502644,77088.12871,11.228971437894,110994.70515,11.6128351231013,121387.1864,11.7067406034372
"calida","G.calida",27,"B",6,89082.6012,11.3973193216634,96036.8751,11.4657558173858,112399.9704,11.6176234540407,119236.0932,11.6885237398382,126135.4518,11.7449579406375,129430.3698,11.7708571697928,130105.9944,11.7761047387658
"conglobatus","G.conglobatus",27,"A",12,73562.32952,11.2058883465148,96407.62549,11.4733414909039,161493.431010833,11.8269703546698,113624.3584,11.6406387967806,195895.681775,12.1544744338481,342852.765355,12.7316264966646,405236.8277,12.9122269349364
"conglobatus","G.conglobatus",27,"B",7,99806.0616,11.5109841979301,140609.7936,11.8504527725393,242215.935942857,12.2249127382947,212645.3544,12.267381054217,236278.9026,12.3713912119565,515098.8576,13.0737995095226,629282.7432,13.3523359469239
"dehiscens","S.dehiscens",27,"A",1,386229.6171,12.8641873345395,386229.6171,12.8641873345395,386229.6171,12.8641873345395,386229.6171,12.8641873345395,386229.6171,12.8641873345395,386229.6171,12.8641873345395,386229.6171,12.8641873345395
"dehiscens","S.dehiscens",27,"B",6,93682.1736,11.4476632003935,141416.8821,11.8592425019002,226697.0148,12.1469008017705,167481.6804,12.0208362404991,208653.1785,12.2467693671757,486181.7919,13.0185610153087,576430.9272,13.2646107974627
"dutertrei","N.dutertrei",27,"A",11,61867.91564,11.0327569986089,75905.86653,11.2365826691607,88919.3295981818,11.3762832133409,87012.3748,11.3738056266022,104573.8876,11.5576487241468,110778.5734,11.6152453911172,111809.0016,11.6245473516677
"dutertrei","N.dutertrei",27,"B",7,98607.9096,11.4989067564403,137168.4348,11.8289479452602,151807.760228571,11.9061020222052,142154.0784,11.8646668074871,170207.4762,12.040046029511,201013.96104,12.2100143570188,207140.5116,12.241152641967
"glutinata","G.glutinata",27,"A",24,26750.92189,10.1943242149079,30221.7057275,10.3162449360157,33894.1351495833,10.4162083034339,33287.355345,10.4129327367318,34258.9737575,10.4416991004256,47201.1522075,10.7614581681661,52932.84635,10.8767793391477
"glutinata","G.glutinata",27,"B",14,23217.5232,10.0526625828959,30358.1763,10.318094263368,39807.6492857143,10.5558117136232,41495.9976,10.6288074234461,48383.7075,10.7869181140813,52079.6736,10.8604560537358,52945.0056,10.8770090236347
"menardii","G.menardii",27,"A",1,73905.06592,11.2105366556017,73905.06592,11.2105366556017,73905.06592,11.2105366556017,73905.06592,11.2105366556017,73905.06592,11.2105366556017,73905.06592,11.2105366556017,73905.06592,11.2105366556017
"menardii","G.menardii",27,"B",13,140197.0968,11.8508045458076,237933.018,12.379744476068,409850.420953846,12.8049302349818,392095.242,12.8792600535473,499236.6564,13.1208355236299,728933.04504,13.4705443720427,947052.6228,13.761109938523
"obliquiloculata","P.obliquiloculata",27,"A",7,36580.7314,10.5072769162775,55299.893055,10.9080119989464,126123.279585714,11.5058560490896,97397.47059,11.4865555199916,180769.5346,12.1001404372707,253274.49599,12.4311737579929,276745.8998,12.5308550349236
"obliquiloculata","P.obliquiloculata",27,"B",10,79457.4468,11.2829768969621,88956.1296,11.3958398278432,121888.00296,11.6620348455674,108133.218,11.5907959717559,150754.1472,11.9233891018393,182892.24486,12.1101436509216,201562.4484,12.2138545299722
"ruber","G.ruber",27,"A",96,19299.66924,9.86784323692229,28107.5686075,10.2437926038383,38666.6034395833,10.4887418910468,33079.719155,10.4066557670283,42335.7975075,10.653214917174,64892.76518,11.0804341796465,161831.8677,11.9943132215677
"ruber","G.ruber",27,"B",11,34579.998,10.4510307014004,75806.4114,11.2351270634297,85250.3301818182,11.3014439452451,88057.5156,11.3857454663294,89558.5338,11.4026476158782,122574.2778,11.6843352078876,153157.1076,11.9392195205866
