Measurement Table ruber31,,,,,,,,,,,
Feature Name,Area(µm^2),Aspect Ratio,"Diameter, Max(µm)","Diameter, Min(µm)",Fourier Descriptor{mean},"Area, Polygonal(µm^2)","Perimeter, Bounding Polygon(µm)","Radius, Max(µm)","Radius, Min(µm)",Relative Size,Roundness
P1R32,41466.70531,1.075965138,242.9052934,207.4385275,0.979522405,40827.61861,770.02776,128.1875374,90.79944973,1,1.155710003
P1R33,43431.60941,1.227848038,258.9653091,189.5351493,1.019614068,42787.59402,781.3045067,129.5344205,87.41965519,1,1.135306043
P1R34,47502.70671,1.204725547,272.7278716,203.5530579,0.984742736,46843.90525,807.5206938,137.0907125,94.52422592,1,1.107756697
P1R35,33669.51896,1.226440196,230.2098006,164.7242455,1.053022375,33102.7197,689.0209915,116.5714184,76.56165062,1,1.141277846
P1R36,37642.04248,1.297511017,245.7228698,161.9785653,1.042525874,37050.59977,721.3222896,124.6743804,79.46299423,1,1.117515665
P1R37,38594.92239,1.19330026,239.0121207,187.7672945,0.996040759,38001.83679,718.4698643,122.2420479,85.09850705,1,1.080942723
P1R1,83012.26965,1.316667155,368.5620175,248.5746042,1.008621306,82252.03627,1109.845359,186.5941882,121.6979802,1,1.191704116
P1R2,105572.5231,1.248227104,405.6507169,297.2787976,1.088615054,104494.7831,1308.676581,211.6972264,131.8987839,1,1.304248091
P1R3,121978.4866,1.20639734,431.8659187,338.0773625,1.077105275,120851.4597,1356.59552,231.6012733,145.1836505,1,1.211822506
P1R4,80413.20754,1.097537682,345.1707511,294.3072958,0.989532176,79535.90085,1057.608376,176.0645835,136.0214841,1,1.119120152
P1R5,149828.8665,1.15707921,473.6081148,366.1649571,0.955112193,148613.1232,1443.088257,237.5117042,176.1400797,1,1.115112749
P1R6,160093.6833,1.300026379,517.4768178,331.8137213,1.061222848,161659.3636,1623.469941,261.6105175,160.6931542,1,1.29741166
P1R7,108644.7394,1.135081758,406.3669394,326.9355292,1.017855044,107591.5235,1364.666109,206.8078926,143.8576454,1,1.37741533
P1R8,108710.4552,1.216186417,417.9779945,294.3072958,1.037884134,107676.1746,1332.402697,212.654202,133.6080818,1,1.312023292
P1R9,103923.0551,1.219549751,402.9566025,307.8614846,1.010873615,102917.6025,1219.430415,202.7864103,136.9516897,1,1.14977945
Mean value,,,,,,,,,,,
Standard Deviation,,,,,,,,,,,
Minimum,,,,,,,,,,,
Maximum,,,,,,,,,,,
Range,,,,,,,,,,,
Sum,,,,,,,,,,,
Index of Minimum,,,,,,,,,,,
Index of Maximum,,,,,,,,,,,
Number of Elements,,,,,,,,,,,
