Core,Coring device,Lat,Long,Water depth (m),Ocean,Sample depth - upper (m),Sample depth - lower (m),calendar age estimate (cal ky BP),Chronostratigraphic quality (chronozone level),sedimentation rate (cm/ky),Laboratory,Instrument,Publication,added by (name),date of addition,Orbulina_universa,Globigerinoides_conglobatus,Globigerinoides_ruber,Globigerinoides_white,Globigerinoides_tenellus,Trilobatus_sacculifer,Sphaeroidinella_dehiscens,Globigerinella_adamsi,Globigerinella_siphonifera,Globigerinella_calida,Globigerina_bulloides,Globigerina_falconensis,Beella_digitata,Globoturborotalita_rubescens,Turborotalita_humilis,Turborotalita_quinqueloba,Neogloboquadrina_pachyderma,Neogloboquadrina_incompta,Neogloboquadrina_dutertrei,Globoquadrina_conglomerata,Globorotaloides_hexagonus,Pulleniatina_obliquiloculata,Globoconella_inflata,Globorotalia_truncatulinoides,Globorotalia_crassaformis,Globorotalia_hirsuta,Globorotalia_scitula,Dentigloborotalia_anfracta,Globorotalia_menardii,Globorotalia_tumida,Globorotalia_menardii_._Globorotalia_tumida,Candeina_nitida,Globigerinita_glutinata,Globorotalia_theyeri,Tenuitella_iota,Turborotalita_humilis_._Berggrenia_pumilio,Globigerinita_uvula,unidentified,Count,Type,Sum
GIK17724-2,,76,8.3333,-2354,North Atlantic,0.53,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,20/05/07,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,96.8,3.1,0,,,0,0,0,0,0,0,,0,0,NA,0,0,,,0,0,0,,1,99.9
GIK17724-2,,76,8.3333,-2354,North Atlantic,0.57,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,20/05/07,0,0,0,0,0,0,0,,0,0,0.2,0,0,0,0,0,97,2.8,0,,,0,0,0,0,0,0,,0,0,NA,0,0,,,0,0,0,,1,100
GIK17724-2,,76,8.3333,-2354,North Atlantic,0.58,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,20/05/07,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,97.2,2.8,0,,,0,0,0,0,0,0,,0,0,NA,0,0,,,0,0,0,,1,100
GIK17724-2,,76,8.3333,-2354,North Atlantic,0.62,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,20/05/07,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,97.5,2.5,0,,,0,0,0,0,0,0,,0,0,NA,0,0,,,0,0,0,,1,100
PS1922-1,,75,-8.771,-3350,North Atlantic,1.32,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,20/05/07,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,97.7,2.3,0,,,0,0,0,0,0,0,,0,0,NA,0,0,,,0,0,0,,1,100
PS1922-1,,75,-8.771,-3350,North Atlantic,1.32,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,20/05/07,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,97.7,2.3,0,,,0,0,0,0,0,0,,0,0,NA,0,0,,,0,0,0,,1,100
PS1922-1,,75,-8.771,-3350,North Atlantic,1.56,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,20/05/07,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,98.3,1.7,0,,,0,0,0,0,0,0,,0,0,NA,0,0,,,0,0,0,,1,100
PS1922-1,,75,-8.771,-3350,North Atlantic,1.56,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,20/05/07,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,98.3,1.7,0,,,0,0,0,0,0,0,,0,0,NA,0,0,,,0,0,0,,1,100
PS1919-2,,74.997,-11.8267,-1955,North Atlantic,0.23,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,20/05/07,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,99.5,0.5,0,,,0,0,0,0,0,0,,0,0,NA,0,0,,,0,0,0,,1,100
PS1919-2,,74.997,-11.8267,-1955,North Atlantic,0.36,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,20/05/07,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,99.1,0.9,0,,,0,0,0,0,0,0,,0,0,NA,0,0,,,0,0,0,,1,100
PS2613-6,,74.177,-0.48,-3266,North Atlantic,0.35,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,20/05/07,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,97.3,2.6,0,,,0,0,0,0,0,0,,0,0,NA,0,0.1,,,0,0,0,,1,100
PS2613-6,,74.177,-0.48,-3266,North Atlantic,0.4,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,20/05/07,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,95.7,4.3,0,,,0,0,0,0,0,0,,0,0,NA,0,0,,,0,0,0,,1,100
GIK23294-4,,72.38,-10.5923,-2215,North Atlantic,1.2,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,20/05/07,0,0,0,0,0,0,0,,0,0,0.4,0,0,0,0,0,96.8,2.8,0,,,0,0,0,0,0,0,,0,0,NA,0,0,,,0,0,0,,1,100
GIK23262-2,,72.225,14.4273,-1130,North Atlantic,2.6,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,20/05/07,0,0,0,0,0,0,0,,0,0,0.2,0,0,0,0,0.5,95.1,4,0,,,0,0,0,0,0,0,,0,0,NA,0,0.2,,,0,0,0,,1,100
V27-60,,72.183,8.583,-2525,North Atlantic,2,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,20/05/07,0,0,0,0,0,0,0,,0,0,0.3,0,0,0,0,0.3,95.6,3.2,0,,,0,0,0,0,0,0,,0,0,NA,0,0.6,,,0,0,0,,1,99.9
MD95-2012,,72.151,11.4343,-2094,North Atlantic,3.12,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,20/05/07,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0.2,94.5,2.6,0,,,0,0,0,0,0,0,,0,0,NA,0,2.8,,,0,0,0,,1,100.1
MD95-2012,,72.151,11.4343,-2094,North Atlantic,3.15,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,20/05/07,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0.2,94.5,2.6,0,,,0,0,0,0,0,0,,0,0,NA,0,2.8,,,0,0,0,,1,100.1
MD95-2012,,72.151,11.4343,-2094,North Atlantic,3.21,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,20/05/07,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,96.7,1.5,0,,,0,0,0,0,0,0,,0,0,NA,0,1.8,,,0,0,0,,1,100
MD95-2012,,72.151,11.4343,-2094,North Atlantic,3.25,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,20/05/07,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,96.7,1.5,0,,,0,0,0,0,0,0,,0,0,NA,0,1.8,,,0,0,0,,1,100
MD95-2012,,72.151,11.4343,-2094,North Atlantic,3.31,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,20/05/07,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,96.7,1.5,0,,,0,0,0,0,0,0,,0,0,NA,0,1.8,,,0,0,0,,1,100
MD95-2012,,72.151,11.4343,-2094,North Atlantic,3.35,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,20/05/07,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,96.7,1.5,0,,,0,0,0,0,0,0,,0,0,NA,0,1.8,,,0,0,0,,1,100
MD95-2012,,72.151,11.4343,-2094,North Atlantic,3.42,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,20/05/07,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,96.7,1.5,0,,,0,0,0,0,0,0,,0,0,NA,0,1.8,,,0,0,0,,1,100
MD95-2012,,72.151,11.4343,-2094,North Atlantic,3.46,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,20/05/07,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0.4,95.3,1.6,0,,,0,0,0,0,0,0,,0,0,NA,0,2.7,,,0,0,0,,1,100
MD95-2012,,72.151,11.4343,-2094,North Atlantic,3.52,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,20/05/07,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0.4,95.3,1.6,0,,,0,0,0,0,0,0,,0,0,NA,0,2.7,,,0,0,0,,1,100
MD95-2012,,72.151,11.4343,-2094,North Atlantic,3.56,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,20/05/07,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0.4,95.3,1.6,0,,,0,0,0,0,0,0,,0,0,NA,0,2.7,,,0,0,0,,1,100
MD95-2012,,72.151,11.4343,-2094,North Atlantic,3.62,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,20/05/07,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0.4,95.3,1.6,0,,,0,0,0,0,0,0,,0,0,NA,0,2.7,,,0,0,0,,1,100
MD95-2012,,72.151,11.4343,-2094,North Atlantic,3.65,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,20/05/07,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0.4,95.3,1.6,0,,,0,0,0,0,0,0,,0,0,NA,0,2.7,,,0,0,0,,1,100
MD95-2012,,72.151,11.4343,-2094,North Atlantic,3.71,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,20/05/07,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0.1,95,2.6,0,,,0,0,0,0,0,0,,0,0,NA,0,2.3,,,0,0,0,,1,100
MD95-2012,,72.151,11.4343,-2094,North Atlantic,3.75,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,20/05/07,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0.1,95,2.6,0,,,0,0,0,0,0,0,,0,0,NA,0,2.3,,,0,0,0,,1,100
MD95-2012,,72.151,11.4343,-2094,North Atlantic,3.81,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,20/05/07,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0.1,95,2.6,0,,,0,0,0,0,0,0,,0,0,NA,0,2.3,,,0,0,0,,1,100
MD95-2012,,72.151,11.4343,-2094,North Atlantic,3.85,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,20/05/07,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0.3,95.6,2.2,0,,,0,0,0,0,0,0,,0,0,NA,0,1.8,,,0,0,0,,1,99.9
MD95-2012,,72.151,11.4343,-2094,North Atlantic,3.92,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,20/05/07,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0.3,95.6,2.2,0,,,0,0,0,0,0,0,,0,0,NA,0,1.8,,,0,0,0,,1,99.9
MD95-2012,,72.151,11.4343,-2094,North Atlantic,3.96,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,20/05/07,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,95.6,3.5,0,,,0,0,0,0,0,0,,0,0,NA,0,0.9,,,0,0,0,,1,100
MD95-2012,,72.151,11.4343,-2094,North Atlantic,4,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,20/05/07,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,95.6,3.5,0,,,0,0,0,0,0,0,,0,0,NA,0,0.9,,,0,0,0,,1,100
MD95-2012,,72.151,11.4343,-2094,North Atlantic,4.11,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,20/05/07,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,95.6,3.5,0,,,0,0,0,0,0,0,,0,0,NA,0,0.9,,,0,0,0,,1,100
MD95-2012,,72.151,11.4343,-2094,North Atlantic,4.21,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,20/05/07,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,98.8,0.3,0,,,0,0,0,0,0,0,,0,0,NA,0,0,,,0,0,0,,1,99.1
MD95-2012,,72.151,11.4343,-2094,North Atlantic,4.3,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,20/05/07,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,95.9,2.1,0,,,0,0,0,0,0,0,,0,0,NA,0,1.9,,,0,0,0,,1,99.9
MD95-2012,,72.151,11.4343,-2094,North Atlantic,4.41,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,20/05/07,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,95.9,2.1,0,,,0,0,0,0,0,0,,0,0,NA,0,1.9,,,0,0,0,,1,99.9
MD95-2012,,72.151,11.4343,-2094,North Atlantic,4.5,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,20/05/07,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,95.9,2.1,0,,,0,0,0,0,0,0,,0,0,NA,0,1.9,,,0,0,0,,1,99.9
MD95-2012,,72.151,11.4343,-2094,North Atlantic,4.61,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,20/05/07,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,95.9,2.1,0,,,0,0,0,0,0,0,,0,0,NA,0,1.9,,,0,0,0,,1,99.9
MD95-2012,,72.151,11.4343,-2094,North Atlantic,4.71,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,20/05/07,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,99.5,0.3,0,,,0,0,0,0,0,0,,0,0,NA,0,0,,,0,0,0,,1,99.8
MD95-2012,,72.151,11.4343,-2094,North Atlantic,4.8,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,20/05/07,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,94.6,3.9,0,,,0,0,0,0,0,0,,0,0,NA,0,1.5,,,0,0,0,,1,100
MD95-2012,,72.151,11.4343,-2094,North Atlantic,4.91,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,20/05/07,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,94.6,3.9,0,,,0,0,0,0,0,0,,0,0,NA,0,1.5,,,0,0,0,,1,100
MD95-2012,,72.151,11.4343,-2094,North Atlantic,5,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,20/05/07,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,94.6,3.9,0,,,0,0,0,0,0,0,,0,0,NA,0,1.5,,,0,0,0,,1,100
MD95-2012,,72.151,11.4343,-2094,North Atlantic,5.11,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,20/05/07,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,99.4,0.3,0,,,0,0,0,0,0,0,,0,0,NA,0,0,,,0,0,0,,1,99.7
MD95-2012,,72.151,11.4343,-2094,North Atlantic,5.21,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,20/05/07,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,96,1.7,0,,,0,0,0,0,0,0,,0,0,NA,0,2.3,,,0,0,0,,1,100
MD95-2012,,72.151,11.4343,-2094,North Atlantic,5.3,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,20/05/07,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,96,1.7,0,,,0,0,0,0,0,0,,0,0,NA,0,2.3,,,0,0,0,,1,100
MD95-2012,,72.151,11.4343,-2094,North Atlantic,5.41,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,20/05/07,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,96,1.7,0,,,0,0,0,0,0,0,,0,0,NA,0,2.3,,,0,0,0,,1,100
MD95-2012,,72.151,11.4343,-2094,North Atlantic,5.5,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,20/05/07,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,98,1.1,0,,,0,0,0,0,0,0,,0,0,NA,0,0.9,,,0,0,0,,1,100
